,nrdG
Cr_1,-0.00022714857501301714
Cr_2,0.002386768442460941
Cr_3,0.013238967277136223
Cr_4,0.009843183477962852
Cr_5,0.008573758589701205
Cr_6,0.0026878235625578477
Fe_1,-0.010913647031045871
Fe_2,-0.04173935738750608
Fe_3,-0.08630824286060616
Fe_4,-0.1352879357152421
Fe_5,-0.16113333038399147
Fe_6,-0.1563536546428294
Cd_1,0.002973634217858176
Cd_2,0.008066681779564804
Cd_3,0.007515203734171436
Cd_4,0.00937819227189438
Cd_5,0.007010090525837283
Cd_6,0.008004747045558445
Zn_1,-0.027238239922109903
Zn_2,-0.05303583695440536
Zn_3,-0.06468045065015435
Zn_4,-0.07657757373348317
Zn_5,-0.09222870943486712
Zn_6,-0.1166473238661361
Cu_1,0.002950764550166312
Cu_2,0.004686365828647136
Cu_3,0.008792595704679397
Cu_4,0.010160798601072146
Cu_5,0.012764308960240377
Cu_6,0.019381485069302696
Pb_1,-0.004572747237538826
Pb_2,-0.0036494469488674007
Pb_3,0.00932963310102583
Pb_4,0.020022825931181917
Pb_5,0.031149533623716592
Pb_6,0.03834842709747606
