,-0.2218287553782064,-0.1941001609559306,-0.1663715665336548,-0.13864297211137902,-0.11091437768910323,-0.08318578326682743,-0.05545718884455164,-0.02772859442227585,-5.551115123125783e-17,0.027728594422275737,0.05545718884455153,0.0831857832668273,0.11091437768910312,0.13864297211137894,0.1663715665336547,0.19410016095593047,0.2218287553782063,0.2495573498004821,0.2772859442227579,0.30501453864503364
thresh,-0.0693214860556895,0.0693214860556895,2,,,,,,,,,,,,,,,,,
unreg,0,0,1,0,1,3,24,333,3579,317,24,1,0,0,0,0,0,1,0,0
YonO,1,2,1,0,0,0,4,2,17,9,4,1,0,0,0,0,0,0,0,0
unreg_genes,[],[],['yonO'],[],['BSU_36739'],['yqcE' 'BSU_25875' 'mstX'],[],[],[],[],[],['BSU_17715'],[],[],[],[],[],['yozZ'],[],[]
YonO_genes,['bhlA'],['bhlB' 'yomH'],['yomG'],[],[],[],['yomJ' 'yomK' 'yonH' 'cwlP'],['yonE' 'yomF'],"['yonF' 'yonG' 'yonK' 'yomP' 'yomO' 'yomR' 'yonJ' 'yomM' 'yozP' 'yomZ'
 'yomN' 'youB' 'yomL' 'yomV' 'yomS' 'yonA' 'yonD']",['yomQ' 'yomY' 'yomT' 'yomX' 'yonI' 'blyA' 'yomU' 'BSU_21409' 'yomE'],['yonB' 'youA' 'yomW' 'yonC'],['yomD'],[],[],[],[],[],[],[],[]
