,ahpF
Cr_1,0.0005679768169706442
Cr_2,-0.0071142032605535435
Cr_3,-0.012342586704252569
Cr_4,-0.007871728742093917
Cr_5,-0.016876483781397264
Cr_6,-0.024347705743020368
Fe_1,-0.02165511584980119
Fe_2,-0.04986542344220976
Fe_3,-0.06565414850549689
Fe_4,-0.09048150079927296
Fe_5,-0.09342231788642924
Fe_6,-0.1056674773139198
Cd_1,-0.003061760567552705
Cd_2,-0.006796500661619322
Cd_3,-0.007206093140853202
Cd_4,-0.007223907748419044
Cd_5,-0.005795862171582988
Cd_6,0.0020053757482203565
Zn_1,0.046698292183528466
Zn_2,0.0916643950330102
Zn_3,0.12206858594045628
Zn_4,0.09604797621912804
Zn_5,0.031163137914019364
Zn_6,-0.022267284727295413
Cu_1,-0.003335723538807192
Cu_2,-0.002250066402453268
Cu_3,0.007389189795705677
Cu_4,0.004829602438171126
Cu_5,0.0045024767654294785
Cu_6,-0.0033194192105214285
Pb_1,-0.014199422257475591
Pb_2,-0.019944096363215518
Pb_3,-0.02192666469085567
Pb_4,-0.029066061223018563
Pb_5,-0.05042679422110588
Pb_6,-0.05512306313212484
