,tyrP
Cr_1,0.0048204483003352365
Cr_2,0.014536422638397778
Cr_3,0.02403341091870826
Cr_4,0.025731888086775085
Cr_5,0.026712301793083117
Cr_6,0.028489920908272376
Fe_1,-0.005248089412748051
Fe_2,-0.01089342704121504
Fe_3,0.005612298792006079
Fe_4,0.03761473234838337
Fe_5,0.07718466503783779
Fe_6,0.1158885181978307
Cd_1,0.00015652648525581409
Cd_2,0.005078931493724325
Cd_3,0.014922422899435666
Cd_4,0.02384008018450278
Cd_5,0.02885093248081778
Cd_6,0.0423938909077483
Zn_1,0.0021186753251183493
Zn_2,0.00743781816314297
Zn_3,0.022130449359843846
Zn_4,0.039412329732317584
Zn_5,0.05886373571042719
Zn_6,0.07456972320994605
Cu_1,-0.0005358744140732186
Cu_2,0.002564692424019913
Cu_3,0.003853004182190217
Cu_4,0.0014903352569281328
Cu_5,0.005233734261282523
Cu_6,0.011444588654493831
Pb_1,0.00342138419106562
Pb_2,0.011816060927184712
Pb_3,0.027254551747162747
Pb_4,0.048218762627031175
Pb_5,0.06949663507453448
Pb_6,0.0930297559524086
