,yncE
Cr_1,-0.00946254665224787
Cr_2,-0.012484718943704192
Cr_3,-0.0050015825686113725
Cr_4,0.0025151176528898232
Cr_5,0.0053693666264036394
Cr_6,0.010826399727273195
Fe_1,-0.016746878110426695
Fe_2,-0.023109903816643226
Fe_3,-0.02000321855754564
Fe_4,-0.02620748419612353
Fe_5,-0.041178642677104166
Fe_6,-0.05870465964070382
Cd_1,-0.006793294249073121
Cd_2,-0.010006581508035977
Cd_3,-0.012651793703835816
Cd_4,-0.015568288647971875
Cd_5,-0.016462914606397167
Cd_6,-0.010467146328988406
Zn_1,-0.003212120415406393
Zn_2,-0.0007235877789465174
Zn_3,0.015431123355084004
Zn_4,0.035272275010206515
Zn_5,0.05558989656481315
Zn_6,0.0781222839409431
Cu_1,0.005616146345981852
Cu_2,0.010699309430134248
Cu_3,0.02026811694107311
Cu_4,0.03749729073029141
Cu_5,0.055732736843425563
Cu_6,0.06949329383347895
Pb_1,0.009460690810892888
Pb_2,0.02449969463747536
Pb_3,0.04065197844631559
Pb_4,0.05291397158709365
Pb_5,0.06321092058446229
Pb_6,0.07739833773287008
