,syd
Cr_1,0.011009858151315912
Cr_2,0.02747643321120514
Cr_3,0.05286347365917903
Cr_4,0.0689689603983963
Cr_5,0.08348114042163668
Cr_6,0.1130008632235067
Fe_1,-0.03663433336508945
Fe_2,-0.06495604921486818
Fe_3,-0.08015198657270861
Fe_4,-0.0743796233735548
Fe_5,-0.07169092267785304
Fe_6,-0.05378097774247325
Cd_1,0.004619447511731891
Cd_2,0.019854045240003542
Cd_3,0.03964081425857
Cd_4,0.05562653943721815
Cd_5,0.07407609447600813
Cd_6,0.0830658020289567
Zn_1,-0.0026034836531459256
Zn_2,-0.0021409868786047078
Zn_3,0.016422945676297276
Zn_4,0.02268341391402496
Zn_5,0.03766614982751546
Zn_6,0.04433792182379218
Cu_1,0.01802720722954013
Cu_2,0.02666140700546147
Cu_3,0.04357070128604607
Cu_4,0.046904110759600805
Cu_5,0.05540414879038638
Cu_6,0.08380710144062714
Pb_1,0.0005682302350113379
Pb_2,0.00752778057268077
Pb_3,0.02113429669650176
Pb_4,0.02938344338488327
Pb_5,0.03845180819472053
Pb_6,0.05023195141406716
