sample,BSU05630
LBexp_1,10.6535
LBexp_2,11.2611
LBexp_3,10.7896
LBtran_1,11.6935
LBtran_2,11.202
LBtran_3,11.0356
LBstat_1,9.6954
LBstat_2,9.6935
LBstat_3,9.6918
LBGexp_1,10.4048
LBGexp_2,10.7718
LBGexp_3,10.6455
LBGtran_2,10.9122
LBGtran_3,11.0626
LBGstat_1,11.4193
LBGstat_2,11.2088
LBGstat_3,10.6956
S0_1,11.4764
S0_2,11.5043
S0_3,11.6902
S1_1,11.8978
S1_2,11.9046
S1_3,11.817
S2_1,11.0615
S2_2,11.0467
S2_3,11.1443
S3_1,11.0806
S3_2,11.1568
S4_1,11.4153
S4_2,11.321
S4_3,11.3491
S5_1,11.2881
S5_2,11.4745
S5_3,11.663
S6_1,11.2763
S6_2,10.2314
S6_3,11.4942
S6/t_1,10.8388
S6/t_2,9.4474
S6_4,10.4264
S6_5,11.0004
S6_6,11.0932
S7_4,10.3215
S7_5,10.2594
S7_6,10.4446
S8_4,9.8264
S8_5,9.7458
G135_1,9.0922
G135_3,8.1698
G150_1,9.6686
G150_2,9.8688
G150_3,9.9964
G180_1,8.8807
G180_2,9.1558
G180_3,8.5373
C30_1,10.0097
C30_2,10.2365
C90_1,11.7897
C90_2,12.137
BI_1,10.3122
BI_2,10.515
BC_2,12.9749
BC/t_1,12.6503
BC/t_2,12.5952
BC_1,12.7784
Sw_1,14.3195
Sw_2,14.7948
BT_1,10.8557
BT_2,10.3094
B36_1,10.952
B36_2,10.9294
B60_1,11.300999999999998
B60_2,11.1154
M9exp_1,10.9739
M9exp_2,10.6663
M9exp_3,10.7444
M9tran_1,11.0118
M9tran_2,11.0828
M9tran_3,10.9035
M9stat_1,9.4379
M9stat_2,9.4479
M9stat_3,9.3025
M+G_1,10.3481
M+G_2,10.3293
M+G_3,10.4976
Glu_1,10.9855
Glu_2,10.7362
Glu_3,10.7267
Fru_1,10.5329
Fru_2,10.8685
Fru_3,10.5332
Mal_1,10.3726
Mal_2,10.0449
Mal_3,10.6691
G+S_2,11.5379
G+S_3,11.5772
Pyr_1,10.5522
Pyr_2,11.6568
Pyr_3,11.5817
Gly_1,10.7784
Gly_2,11.576
Gly_3,10.0007
Glucon_1,10.162
Glucon_2,10.4247
Glucon_3,10.0508
aero_1,10.6371
aero_2,10.467
aero_3,10.9465
nit_1,10.7324
nit_2,11.3259
nit_3,10.8406
ferm_1,10.8635
ferm_2,10.4393
ferm_3,10.9705
T-5.40H_1,11.8303
T-4.40H_1,11.6285
T-3.40H_1,11.3655
T-2.40H_1,11.127
T-1.40H_1,10.8702
T-1.10H_1,10.6604
T-0.40H_1,10.9265
T0.0H_1,10.7731
T0.30H_1,11.0419
T1.0H_1,10.0499
T1.30H_1,9.9938
T2.0H_1,10.125
T2.30H_1,10.7343
T3.0H_1,10.3091
T3.30H_1,10.5918
T4.0H_1,10.6899
T5.0H_1,10.0936
HPh_1,12.2007
HPh_2,11.9178
HPh_3,12.2349
LPh_1,12.0165
LPh_2,12.4179
LPh_3,11.7649
LPhT_1,11.4024
LPhT_2,11.1365
LPhT_3,11.4395
SMMPr_1,10.6604
SMMPr_2,10.8364
SMMPr_3,10.9205
HiTm_1,10.9956
HiTm_2,10.5194
HiTm_3,10.8286
LoTm_1,12.5785
LoTm_2,12.3
LoTm_3,12.2701
HiOs_1,11.571
HiOs_2,11.2479
HiOs_3,11.4648
BMM_1,10.2578
BMM_2,10.0667
BMM_3,10.0641
Heat_1,10.5922
Heat_2,10.1832
Heat_3,9.8789
Cold_1,11.4831
Cold_2,11.1873
Cold_3,10.9214
Etha_1,9.6434
Etha_2,9.4188
Etha_3,9.5255
SMM_1,10.5882
SMM_2,10.6029
SMM_3,10.5599
Salt_1,10.4845
Salt_2,10.3446
Salt_3,10.3602
Mt0_1,10.887
Mt0_3,10.5594
M0t45_1,10.6452
M0t45_2,10.9957
M0t45_3,11.1754
M0t90_1,9.655
M0t90_2,10.7113
M0t90_3,10.4281
M40t45_1,14.1991
M40t45_2,15.6832
M40t45_3,14.9134
M40t90_1,14.9696
M40t90_2,15.5168
M40t90_3,15.5766
dia0_1,10.9292
dia0_2,11.0512
dia0_3,11.2718
dia5_1,11.1925
dia5_2,10.8477
dia5_3,10.6897
dia15_1,10.2467
dia15_2,10.152
dia15_3,10.4289
Diami_1,9.9971
Diami_2,10.6256
Diami_3,9.9481
Paraq_1,9.9258
Paraq_2,10.6075
Paraq_3,9.6019
H2O2_1,13.8022
H2O2_2,13.8809
H2O2_3,13.5283
Oxctl_1,9.5966
Oxctl_2,10.0239
Oxctl_3,10.3738
GM-0.1_1,10.4929
GM-0.2_1,10.2776
GM+5_1,10.2466
GM+15_1,10.6024
GM+25_1,10.7897
GM+45_1,10.7885
GM+60_1,10.554
GM+90_1,10.7932
GM+120_1,9.9755
GM+150_1,10.7341
GM-0.1_2,10.9133
GM-0.2_2,11.1404
GM+5_2,10.6607
GM+10_2,10.5578
GM+15_2,10.3696
GM+25_2,10.5624
GM+45_2,9.8495
GM+60_2,9.6436
GM+90_2,10.657
GM+150_2,9.8906
GM-0.1_3,10.9501
GM-0.2_3,10.7502
GM+5_3,10.8198
GM+10_3,9.7027
GM+15_3,10.6377
GM+25_3,10.2167
GM+45_3,10.470999999999998
GM+60_3,10.125
GM+90_3,10.8291
GM+120_3,11.0056
GM+150_3,11.0642
MG-0.1_1,10.4465
MG+5_1,10.6396
MG+10_1,10.8929
MG+15_1,10.3684
MG+25_1,10.81
MG+45_1,10.7829
MG+120_1,10.5481
MG+150_1,10.5893
MG-0.1_2,9.8832
MG-0.2_2,10.3327
MG+5_2,10.329
MG+10_2,10.7023
MG+15_2,11.3228
MG+25_2,10.4817
MG+45_2,10.1825
MG+60_2,10.6805
MG+90_2,10.4909
MG+120_2,11.2791
MG-0.1_3,11.2337
MG-0.2_3,10.7374
MG+5_3,10.7502
MG+10_3,10.3688
MG+15_3,10.9908
MG+25_3,11.1049
MG+45_3,11.488
MG+60_3,11.0692
MG+90_3,11.3594
MG+120_3,11.1436
MG+150_3,10.7457
