,BSU_misc_RNA_1
M9exp_1,14.8383
M9exp_2,14.9294
M9exp_3,14.5082
M9tran_1,13.9014
M9tran_2,14.2086
M9tran_3,14.473
M9stat_1,12.4199
M9stat_2,11.8477
M9stat_3,11.5341
MG-0.1_1,14.2954
MG-0.1_2,13.5405
MG-0.1_3,14.7265
MG-0.2_2,14.0149
MG-0.2_3,14.5669
MG+5_1,14.5177
MG+5_2,13.9716
MG+5_3,14.0311
MG+10_1,14.8909
MG+10_2,14.5538
MG+10_3,14.0632
MG+15_1,13.965
MG+15_2,16.3956
MG+15_3,14.9035
MG+25_1,14.6434
MG+25_2,13.9551
MG+25_3,14.793
MG+45_1,14.3511
MG+45_2,13.4882
MG+45_3,14.7934
MG+60_2,13.9842
MG+60_3,14.8752
MG+90_2,13.6775
MG+90_3,14.6426
MG+120_1,13.7607
MG+120_2,14.4458
MG+120_3,14.1269
MG+150_1,15.5055
MG+150_3,14.407
GM-0.1_1,13.9691
GM-0.1_2,14.2233
GM-0.1_3,14.2171
GM-0.2_1,13.7968
GM-0.2_2,16.0299
GM-0.2_3,14.0343
GM+5_1,13.7538
GM+5_2,13.8563
GM+5_3,14.0244
GM+10_2,13.8852
GM+10_3,12.923
GM+15_1,14.1111
GM+15_2,13.9581
GM+15_3,14.0229
GM+25_1,14.7218
GM+25_2,14.6376
GM+25_3,13.9573
GM+45_1,14.5411
GM+45_2,13.5729
GM+45_3,13.6575
GM+60_1,14.3556
GM+60_2,13.3546
GM+60_3,13.8467
GM+90_1,14.5143
GM+90_2,14.1987
GM+90_3,15.5601
GM+120_1,13.4759
GM+120_3,13.5769
GM+150_1,14.1132
GM+150_2,13.2131
GM+150_3,15.6372
BT_1,14.0244
BT_2,12.9507
B36_1,13.4501
B36_2,13.052
B60_1,13.8239
B60_2,13.9154
S0_1,13.8431
S0_2,14.3851
S0_3,14.0329
S1_1,14.3467
S1_2,14.244000000000002
S1_3,13.8173
S2_1,13.6426
S2_2,13.7762
S2_3,13.0313
S3_1,13.8528
S3_2,14.1021
S4_1,14.3941
S4_2,13.6768
S4_3,13.6783
S5_1,13.8755
S5_2,13.8977
S5_3,13.7652
S6_1,13.406
S6_2,11.4958
S6_3,12.6944
S6/t_1,14.0122
S6/t_2,13.0448
S6_4,14.54
S6_5,15.3003
S6_6,15.275
S7_4,15.6429
S7_5,15.1275
S7_6,13.3466
S8_4,14.5752
S8_5,14.5128
G135_1,14.3423
G135_3,12.3687
G150_1,14.3257
G150_2,14.4817
G150_3,14.5035
G180_1,14.08
G180_2,14.2887
G180_3,13.5813
T-5.40H_1,15.1616
T-4.40H_1,14.777
T-3.40H_1,14.9098
T-2.40H_1,14.7409
T-1.40H_1,14.4547
T-1.10H_1,14.0894
T-0.40H_1,14.2873
T0.0H_1,14.3203
T0.30H_1,13.1711
T1.0H_1,12.5861
T1.30H_1,12.2871
T2.0H_1,12.5883
T2.30H_1,14.2941
T3.0H_1,14.0336
T3.30H_1,13.5047
T4.0H_1,13.8253
T5.0H_1,13.7505
LBexp_1,14.8926
LBexp_2,14.931
LBexp_3,14.8324
LBtran_1,14.2523
LBtran_2,14.4281
LBtran_3,14.4325
LBstat_1,13.4935
LBstat_2,13.4717
LBstat_3,13.0171
LBGexp_1,14.9176
LBGexp_2,15.0425
LBGexp_3,15.0963
LBGtran_2,13.970999999999998
LBGtran_3,14.7425
LBGstat_1,11.866
LBGstat_2,11.4071
LBGstat_3,12.6273
Mt0_1,14.4107
Mt0_3,14.4849
M0t45_1,14.3867
M0t45_2,14.7373
M0t45_3,14.7121
M0t90_1,12.717
M0t90_2,13.6619
M0t90_3,13.8371
M40t45_1,14.3285
M40t45_2,14.6799
M40t45_3,15.0309
M40t90_1,13.3177
M40t90_2,13.8841
M40t90_3,14.5662
dia0_1,14.7157
dia0_2,15.0419
dia0_3,14.702
dia5_1,14.8638
dia5_2,14.7399
dia5_3,14.8828
dia15_1,14.7401
dia15_2,14.8561
dia15_3,14.3903
C30_1,14.2022
C30_2,14.5444
C90_1,15.4881
C90_2,15.3603
SMM_1,14.1123
SMM_2,14.0315
SMM_3,14.1132
Salt_1,13.064
Salt_2,12.6769
Salt_3,12.9749
M+G_1,14.1145
M+G_2,13.9672
M+G_3,14.2142
Glu_1,14.6181
Glu_2,14.2111
Glu_3,14.1164
Fru_1,14.4136
Fru_2,14.3927
Fru_3,13.8111
Mal_1,13.5985
Mal_2,13.7814
Mal_3,14.9995
G+S_2,13.5364
G+S_3,14.1374
Pyr_1,12.8911
Pyr_2,13.6691
Pyr_3,13.5278
Gly_1,13.1439
Gly_2,13.8413
Gly_3,12.2923
Glucon_1,13.3652
Glucon_2,13.5505
Glucon_3,12.4023
BI_1,14.1726
BI_2,14.4011
BC_2,13.7852
BC/t_1,15.1097
BC/t_2,15.2073
BC_1,13.6437
Sw_1,14.439
Sw_2,14.35
BMM_1,14.5347
BMM_2,14.4298
BMM_3,14.4024
Heat_1,14.4979
Heat_2,14.5587
Heat_3,13.8728
Cold_1,13.9744
Cold_2,13.1459
Cold_3,13.0037
Etha_1,13.4105
Etha_2,12.797
Etha_3,13.1768
SMMPr_1,13.7909
SMMPr_2,14.0691
SMMPr_3,14.3591
HiTm_1,13.9918
HiTm_2,14.3157
HiTm_3,14.5142
LoTm_1,13.5119
LoTm_2,13.3939
LoTm_3,13.2811
HiOs_1,14.6512
HiOs_2,14.5343
HiOs_3,14.6857
Oxctl_1,13.7489
Oxctl_2,13.9873
Oxctl_3,14.6101
Diami_1,15.1827
Diami_2,14.8351
Diami_3,14.4332
Paraq_1,14.2353
Paraq_2,14.9492
Paraq_3,12.5581
H2O2_1,13.9107
H2O2_2,14.6484
H2O2_3,14.4218
HPh_1,14.8796
HPh_2,14.668
HPh_3,15.0996
LPh_1,14.6191
LPh_2,15.0404
LPh_3,14.4569
LPhT_1,13.9527
LPhT_2,13.9
LPhT_3,13.7152
aero_1,15.2385
aero_2,14.5823
aero_3,15.298
nit_1,14.6388
nit_2,14.5051
nit_3,14.3422
ferm_1,14.5436
ferm_2,14.6045
ferm_3,14.6394
