,elaD
Cr_1,-0.0038323841720259853
Cr_2,-0.004478711547917483
Cr_3,0.006065436240633138
Cr_4,0.0023749072459590213
Cr_5,-0.0034617298663292386
Cr_6,-0.006266545218676996
Fe_1,-0.1237557381210765
Fe_2,-0.1440565666838434
Fe_3,-0.1415907155605929
Fe_4,-0.13848650042883073
Fe_5,-0.12645586691386118
Fe_6,-0.11251333338640383
Cd_1,0.008770494160504473
Cd_2,0.009374971116505528
Cd_3,0.010617496352403685
Cd_4,0.007217285911729517
Cd_5,0.007887486554160059
Cd_6,0.008154127759466777
Zn_1,-0.02304294044901149
Zn_2,-0.04461467534772795
Zn_3,-0.05689810855891271
Zn_4,-0.06496762211852151
Zn_5,-0.06591151321066993
Zn_6,-0.060948811931718125
Cu_1,0.008049057922091206
Cu_2,0.005786341728460986
Cu_3,0.00709727037809455
Cu_4,0.012982633335509587
Cu_5,0.02271473050605792
Cu_6,0.030908039241292137
Pb_1,0.003748653324328114
Pb_2,0.012811924725026451
Pb_3,0.02356672672347645
Pb_4,0.02834777186221892
Pb_5,0.030981871414197205
Pb_6,0.041048297939259216
