,purM
Cr_1,-0.011739937063324057
Cr_2,-0.029699666722036444
Cr_3,-0.045036614801486366
Cr_4,-0.05514479375368373
Cr_5,-0.054241441984507074
Cr_6,-0.04868960206244777
Fe_1,-0.003815663778729361
Fe_2,0.009442339459312252
Fe_3,0.03646989754194727
Fe_4,0.06548740125729301
Fe_5,0.10083855318965168
Fe_6,0.13368589485512222
Cd_1,-0.0022446655662701717
Cd_2,-0.008434357353874338
Cd_3,-0.00998406789258027
Cd_4,-0.007951448214087446
Cd_5,-0.005463337228665408
Cd_6,0.005478445559501657
Zn_1,0.0020042983652543483
Zn_2,0.013872388863825842
Zn_3,0.034159501798899955
Zn_4,0.06319912238723048
Zn_5,0.09227811740630436
Zn_6,0.1171160567722413
Cu_1,0.0044950198594785225
Cu_2,0.012130480545584778
Cu_3,0.022221543691576442
Cu_4,0.03030767182368348
Cu_5,0.04196579752582411
Cu_6,0.05350067211933788
Pb_1,0.000774021180327121
Pb_2,0.00341139611812042
Pb_3,0.00981850613825364
Pb_4,0.01569735022241432
Pb_5,0.021112910246563633
Pb_6,0.03120136626674063
