,0
gene_id,BSU_31322
name,kbfO
operon,Op2469
gene_product,potassium channel protein involved in biofilm formation
cog,Inorganic ion transport and metabolism
regulator,SinR
link,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31322""><i>Subti</i>Wiki</a>"
