,fklB
Cr_1,0.0031897311324228573
Cr_2,0.006436768018507975
Cr_3,0.009600824009416694
Cr_4,0.012698509973977744
Cr_5,0.015510768617527091
Cr_6,0.01977282415075074
Fe_1,-0.004818570156403235
Fe_2,-0.018295050526731225
Fe_3,-0.011193487349200526
Fe_4,-0.011865659500875331
Fe_5,-0.014141205810670118
Fe_6,-0.016831782105965722
Cd_1,-0.000631979924518704
Cd_2,-0.00012200485146522441
Cd_3,0.0014667898891858315
Cd_4,0.0040136386542115095
Cd_5,0.001006614445643274
Cd_6,-0.0023034512117916946
Zn_1,-0.0033149426948485545
Zn_2,-0.0061536895826133494
Zn_3,-0.0004324250946958397
Zn_4,0.00912766459713148
Zn_5,0.012204362976444488
Zn_6,0.010631603432376726
Cu_1,0.00566359288886036
Cu_2,0.0023816862919813554
Cu_3,-0.0010260922085097775
Cu_4,-0.002501539875172711
Cu_5,-0.000873499764834996
Cu_6,0.009457784665036731
Pb_1,0.0026727272839585318
Pb_2,0.0030711042530077565
Pb_3,0.0036559307537950814
Pb_4,0.005129784608358622
Pb_5,0.010763799036642664
Pb_6,0.017671261510689918
