,ybaD
Cr_1,-0.0048315229700929075
Cr_2,-0.008195444303160455
Cr_3,-0.00766181914302332
Cr_4,-0.007035176962484672
Cr_5,-0.02310955085108607
Cr_6,-0.031051392022499263
Fe_1,0.008696872045868364
Fe_2,-0.0012346593803185847
Fe_3,0.0021772713186662034
Fe_4,-0.00659948042892863
Fe_5,-0.01663133358922657
Fe_6,-0.02679115231168584
Cd_1,0.0012067666681310045
Cd_2,0.00899961068532548
Cd_3,0.027521282836023918
Cd_4,0.04216941852559277
Cd_5,0.04886877795750385
Cd_6,0.06003164544376907
Zn_1,0.0012997971738733698
Zn_2,0.014356897514961928
Zn_3,0.032507745425300584
Zn_4,0.03970449438320844
Zn_5,0.045082520312047375
Zn_6,0.05145745433743499
Cu_1,-0.0007363235554836753
Cu_2,0.001606101904540074
Cu_3,0.00576129995129594
Cu_4,-0.003779594506038207
Cu_5,-0.013432330543134087
Cu_6,0.00096228293254724
Pb_1,0.0008412076826594164
Pb_2,1.3562797434870788e-05
Pb_3,-0.004439054557409778
Pb_4,-0.0054291069742586715
Pb_5,-0.00894616783605028
Pb_6,-0.0033895096285592907
