,-0.07753219146574065,-0.06461015955478389,-0.05168812764382712,-0.03876609573287035,-0.02584406382191358,-0.01292203191095681,-4.163336342344337e-17,0.012922031910956727,0.025844063821913496,0.038766095732870265,0.051688127643827034,0.06461015955478382,0.07753219146574057,0.09045422337669733,0.10337625528765411,0.11629828719861089,0.12922031910956766,0.14214235102052442,0.15506438293148117,0.16798641484243798
thresh,-0.08399320742121905,0.08399320742121905,2,,,,,,,,,,,,,,,,,
unreg,0,2,8,27,148,1218,2952,949,169,44,13,5,10,2,3,1,1,1,0,0
ColR,0,0,0,0,0,1,1,2,1,0,1,2,0,0,1,0,0,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_0024' 'PP_0031'],['PP_0028' 'czcC-I' 'cadA-III'],['PP_5138'],['PP_0042'],['PP_0036'],[],[]
ColR_genes,[],[],[],[],[],['pagL-I'],['gloA'],['PP_0267' 'PP_2561'],['PP_0905'],[],['PP_0900'],['PP_0903' 'PP_0904'],[],[],['PP_0033'],[],[],['PP_0035'],['PP_0034'],[]
