,A,ColR
R2,,0.0
xmin,,-2.7725545025
xmid,,
xmax,,1.6235807543333332
ystart,,-0.294354707285569
yend,,-0.294354707285569
ALE:GalactoseA5:1.0,1.3577447102533495,0.8177806049999994
ALE:GalactoseA5:2.0,1.6317738642130906,0.7315663629999998
ALE:GalactoseA6:1.0,5.480426593755963,0.4984595989999993
ALE:GalactoseA6:2.0,4.97003259546209,0.568876433999999
ALE:GalactoseA8:1.0,1.024629524904246,0.607678524999999
ALE:GalactoseA8:2.0,0.6732246890175165,0.3769769359999992
ALE:IL_Control:1.0,-0.5078421417462382,-0.0559436890000002
ALE:IL_Control:2.0,-0.1602685504843599,-0.1418071900000006
ALE:IL_Control:3.0,-0.1901052210494914,0.0888245289999991
ALE:IL_Control:4.0,0.8582159135921876,0.108926349999999
ALE:IL_TEOH_OAc:1.0,-1.146969212088008,-0.2572058770000005
ALE:IL_TEOH_OAc:2.0,-3.147185803627308,-0.0614256040000009
ALE:IL_TEA_HS:1.0,-1.7089172621449658,0.0539387789999992
ALE:IL_TEA_HS:2.0,-1.5563376221856997,-0.1629750500000009
ALE:IL_Mixed:1.0,-3.084673997163557,0.1111058459999991
ALE:IL_Mixed:2.0,-2.006315354157635,0.1857713059999994
ALE:IL_PP5350:1.0,-1.7033956161722306,0.2330430849999993
ALE:IL_PP5350:2.0,-0.9624622753006352,0.135476560999999
ALE:IL_T8:1.0,-2.190140759151056,0.2379374069999995
ALE:IL_T8:2.0,-2.480129067040592,0.1749885989999997
ALE:IL_T9:1.0,-1.5289573042512463,0.2254855069999992
ALE:IL_T9:2.0,-1.598229369034449,0.3976754089999996
ALE:IL_Control2:1.0,2.157632741576377,0.1662843439999992
ALE:IL_Control2:2.0,2.8154283525707244,0.0522443039999993
ALE:IL_Glc+Ace:1.0,-0.875484380364271,-0.0084212650000008
ALE:IL_Glc+Ace:2.0,-0.1060662710426596,0.0691505829999989
ALE:XyloseA1:1.0,1.8276600148156343,0.2196972259999992
ALE:XyloseA1:2.0,1.2975862644894396,0.4553439609999996
ALE:XyloseA2:1.0,1.5295904717391473,0.4390533419999993
ALE:XyloseA2:2.0,0.6040603279311463,0.4026071599999996
ALE:XyloseA3:1.0,0.4487234371577271,0.5409508639999991
ALE:XyloseA3:2.0,0.1577477834466101,0.4553212959999992
ALE:XyloseA4:1.0,1.5671853622296807,0.2661336619999996
ALE:XyloseA4:2.0,1.8596643959668144,0.2422743799999995
Aromatic:Coumarate:1.0,2.666359118712455,0.9678460573333334
Aromatic:Coumarate:2.0,2.4670085517618965,0.6594604213333337
Aromatic:Coumarate:3.0,1.7356811622438555,0.2332034563333334
Aromatic:Coumarate+ferulate:1.0,5.50236627360429,0.3710912913333333
Aromatic:Coumarate+ferulate:2.0,5.801335019731382,0.1544362423333334
Aromatic:Coumarate+ferulate:3.0,5.70305694127436,0.2710721973333339
Aromatic:Ferulate:1.0,2.3178289310972766,0.6152357623333335
Aromatic:Ferulate:2.0,2.254088712901354,0.7644548433333336
Aromatic:Ferulate:3.0,1.97013877442284,0.6394765363333335
Aromatic:Glucose:1.0,-0.1456903170885994,-0.1426887976666662
