,dapF
Cr_1,0.00012307949141405572
Cr_2,0.003132706810627344
Cr_3,0.003746522772134875
Cr_4,0.004565540765050319
Cr_5,0.0021373696511288506
Cr_6,-0.0005897707102772184
Fe_1,-0.006618944250828515
Fe_2,-0.01919756182077546
Fe_3,-0.031026200231612976
Fe_4,-0.046355160259148834
Fe_5,-0.05592038267727401
Fe_6,-0.057619925134219915
Cd_1,0.00014093425155117808
Cd_2,0.0022561634391490637
Cd_3,0.004003692311246832
Cd_4,0.007265608660222088
Cd_5,0.004478807116457357
Cd_6,0.009115469902576306
Zn_1,-0.001376078408245992
Zn_2,-0.0017581245683101607
Zn_3,0.0022144288228951527
Zn_4,0.012656347042086272
Zn_5,0.028855891665731614
Zn_6,0.045378318969794176
Cu_1,0.017591833110233383
Cu_2,0.06381381302472408
Cu_3,0.10599644729206864
Cu_4,0.14288534243007356
Cu_5,0.17341794517506445
Cu_6,0.19940811159131933
Pb_1,0.0003068704341185164
Pb_2,0.005550176549122531
Pb_3,0.016798763559026868
Pb_4,0.028277367097059962
Pb_5,0.03771692853761596
Pb_6,0.04833478644071932
