,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
47,Glc Growth/Exhaust__T0.0H,13.3076,,1.0,121.0,13.3076,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,13.7393,,1.0,122.0,13.7393,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,12.7889,,1.0,123.0,12.7889,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,12.9128,,1.0,124.0,12.9128,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,12.3262,,1.0,125.0,12.3262,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,12.9315,,1.0,126.0,12.9315,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,12.5025,,1.0,127.0,12.5025,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,12.5478,,1.0,128.0,12.5478,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,12.2566,,1.0,129.0,12.2566,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,11.9901,,1.0,130.0,11.9901,,,,,,,,,,,,,,
57,Stressors__HPh,13.824333333333334,0.17569389099605442,3.0,131.0,13.9625,132.0,13.6266,133.0,13.8839,,,,,,,,,,
58,Stressors__LPh,13.461599999999999,0.3001196927893928,3.0,134.0,13.2703,135.0,13.8075,136.0,13.307,,,,,,,,,,
59,Stressors__LPhT,14.584533333333333,0.20912021263697414,3.0,137.0,14.5613,138.0,14.388,139.0,14.8043,,,,,,,,,,
60,Stressors__SMMPr,12.152366666666666,0.23921217220980504,3.0,140.0,12.0785,141.0,12.4198,142.0,11.9588,,,,,,,,,,
61,Stressors__HiTm,12.713333333333333,0.48861115760217033,3.0,143.0,12.1621,144.0,12.8848,145.0,13.0931,,,,,,,,,,
62,Stressors__LoTm,12.269133333333334,0.28507082160988256,3.0,146.0,12.5846,147.0,12.03,148.0,12.1928,,,,,,,,,,
63,Stressors__HiOs,13.071733333333334,0.0789104767019776,3.0,149.0,13.0753,150.0,12.9911,151.0,13.1488,,,,,,,,,,
64,Stressors__BMM,12.606066666666669,0.3906081455030517,3.0,152.0,12.9061,153.0,12.7477,154.0,12.1644,,,,,,,,,,
65,Stressors__Heat,12.788033333333333,0.41349043922844597,3.0,155.0,13.1486,156.0,12.8788,157.0,12.3367,,,,,,,,,,
66,Stressors__Cold,11.791666666666666,1.4155245717871991,3.0,158.0,12.8942,159.0,12.2854,160.0,10.1954,,,,,,,,,,
67,Stressors__Etha,11.885433333333333,0.49428364663756913,3.0,161.0,12.3979,162.0,11.4116,163.0,11.8468,,,,,,,,,,
68,Stress Time Course__SMM,12.737533333333332,0.1334886636884697,3.0,164.0,12.7237,165.0,12.8774,166.0,12.6115,,,,,,,,,,
69,Stress Time Course__Salt,12.131733333333335,0.2605141326940508,3.0,167.0,12.3938,168.0,12.1286,169.0,11.8728,,,,,,,,,,
70,Stress Time Course__Mt0,12.247449999999999,0.13937074657186777,2.0,170.0,12.345999999999998,171.0,12.1489,,,,,,,,,,,,
71,Stress Time Course__M0t45,12.149500000000002,0.5552779844366247,3.0,172.0,12.4047,173.0,11.5125,174.0,12.5313,,,,,,,,,,
72,Stress Time Course__M0t90,11.3369,0.781442633851008,3.0,175.0,10.5804,176.0,12.1411,177.0,11.2892,,,,,,,,,,
73,Stress Time Course__M40t45,11.963466666666667,0.739186480756604,3.0,178.0,11.179,179.0,12.0644,180.0,12.647,,,,,,,,,,
74,Stress Time Course__M40t90,11.5527,0.5500238267566226,3.0,181.0,10.9456,182.0,12.0178,183.0,11.6947,,,,,,,,,,
75,Stress Time Course__dia0,12.009566666666666,0.26030640278973793,3.0,184.0,12.3064,185.0,11.8202,186.0,11.9021,,,,,,,,,,
76,Stress Time Course__dia5,13.1892,0.3329598774627362,3.0,187.0,12.8668,188.0,13.169,189.0,13.5318,,,,,,,,,,
77,Stress Time Course__dia15,13.474566666666666,1.211616103942719,3.0,190.0,14.2024,191.0,14.1454,192.0,12.0759,,,,,,,,,,
78,Stressors__Diami,13.143666666666666,0.39788351729285437,3.0,193.0,13.5634,194.0,12.772,195.0,13.0956,,,,,,,,,,
79,Stressors__Paraq,12.1437,1.522416641396172,3.0,196.0,12.6419,197.0,13.3546,198.0,10.4346,,,,,,,,,,
80,Stressors__H2O2,12.41403333333333,0.4846654550649687,3.0,199.0,11.8629,200.0,12.7738,201.0,12.6054,,,,,,,,,,
81,Stressors__Oxctl,12.243466666666668,0.46609155037753347,3.0,202.0,11.7428,203.0,12.3228,204.0,12.6648,,,,,,,,,,
82,Carbon Transition__GM-0.1,12.851466666666667,0.07987204350292648,3.0,205.0,12.7599,215.0,12.9068,225.0,12.8877,,,,,,,,,,
83,Carbon Transition__GM-0.2,12.9998,0.5582867274080592,3.0,206.0,12.5856,216.0,13.6347,226.0,12.7791,,,,,,,,,,
84,Carbon Transition__GM+5,12.957666666666668,0.30633550779061314,3.0,207.0,12.6231,217.0,13.0255,227.0,13.2244,,,,,,,,,,
85,Carbon Transition__GM+15,13.314933333333334,0.3642787440042769,3.0,208.0,13.0518,219.0,13.7307,229.0,13.1623,,,,,,,,,,
86,Carbon Transition__GM+25,12.988100000000001,0.43608788105151475,3.0,209.0,13.2733,220.0,13.2049,230.0,12.4861,,,,,,,,,,
87,Carbon Transition__GM+45,12.603333333333333,0.7072874969440173,3.0,210.0,13.3994,221.0,12.0473,231.0,12.3633,,,,,,,,,,
88,Carbon Transition__GM+60,12.522966666666667,0.8005607368172225,3.0,211.0,13.3787,222.0,12.3979,232.0,11.7923,,,,,,,,,,
89,Carbon Transition__GM+90,12.8838,0.11394248549158491,3.0,212.0,13.0081,223.0,12.859000000000002,233.0,12.7843,,,,,,,,,,
90,Carbon Transition__GM+120,11.9937,0.21467761876823543,2.0,213.0,11.8419,234.0,12.1455,,,,,,,,,,,,
91,Carbon Transition__GM+150,12.495466666666667,0.5475971542414488,3.0,214.0,12.3079,224.0,12.0663,235.0,13.1122,,,,,,,,,,
92,Carbon Transition__GM+10,12.37495,0.9403813082999884,2.0,218.0,13.0399,228.0,11.71,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,12.976433333333333,0.9028022836332075,3.0,236.0,12.9985,244.0,12.0628,254.0,13.868,,,,,,,,,,
94,Carbon Transition__MG+5,12.954466666666667,0.18372072102333348,3.0,237.0,13.1666,246.0,12.8501,256.0,12.8467,,,,,,,,,,
95,Carbon Transition__MG+10,12.9583,0.6049971652826155,3.0,238.0,13.4184,247.0,13.1835,257.0,12.273,,,,,,,,,,
96,Carbon Transition__MG+15,13.207766666666666,0.7983068729087417,3.0,239.0,12.3522,248.0,13.9327,258.0,13.3384,,,,,,,,,,
97,Carbon Transition__MG+25,12.9856,0.11292772024618225,3.0,240.0,12.9794,249.0,12.8759,259.0,13.1015,,,,,,,,,,
98,Carbon Transition__MG+45,12.8695,0.6076975974940161,3.0,241.0,13.0216,250.0,12.2002,260.0,13.3867,,,,,,,,,,
99,Carbon Transition__MG+120,12.042499999999999,0.627315837517275,3.0,242.0,11.3231,253.0,12.4755,263.0,12.3289,,,,,,,,,,
100,Carbon Transition__MG+150,13.21295,0.254204887836563,2.0,243.0,13.0332,264.0,13.3927,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,13.161999999999999,0.5176021638285536,2.0,245.0,12.796,255.0,13.528,,,,,,,,,,,,
102,Carbon Transition__MG+60,12.6817,0.09446946596652239,2.0,251.0,12.7485,261.0,12.6149,,,,,,,,,,,,
103,Carbon Transition__MG+90,12.572600000000001,0.6222539674441624,2.0,252.0,12.1326,262.0,13.0126,,,,,,,,,,,,
