,ybiU
Cr_1,0.010390353936194188
Cr_2,0.025511299312099927
Cr_3,0.03840237892838698
Cr_4,0.048320922475406064
Cr_5,0.05962944391990641
Cr_6,0.0618834325969389
Fe_1,-0.014554971043001234
Fe_2,-0.0308625490100714
Fe_3,-0.04192260472392675
Fe_4,-0.04839453333305882
Fe_5,-0.051633763331708896
Fe_6,-0.04783843633133759
Cd_1,0.031996020817453764
Cd_2,0.08213182043250479
Cd_3,0.17731730333581164
Cd_4,0.28612202285900074
Cd_5,0.4368448790668125
Cd_6,0.6636911400021773
Zn_1,-0.008109317240638186
Zn_2,-0.01162152975440302
Zn_3,-0.007073768192913334
Zn_4,0.0005100418879139191
Zn_5,0.009404364488772434
Zn_6,0.01669750052264181
Cu_1,0.002696969161912905
Cu_2,0.005145386660000014
Cu_3,0.0032726300133607412
Cu_4,0.0013739302656862744
Cu_5,0.005839931862193321
Cu_6,0.011396213967362623
Pb_1,0.0027537201770964892
Pb_2,0.00686908692847389
Pb_3,0.010150539541690066
Pb_4,0.007873452565876642
Pb_5,0.018904984743695483
Pb_6,0.02432595069877477
