locus,gene_weight,gene_name,gene_product,cog,operon,regulator,old_locus_tag,synonyms,link
SACI_RS08465,0.3903917331880848,paaI_1,phenylacetate-CoA oxygenase subunit PaaI,Function unknown,Op1002,,Saci_1770,paaI,https://www.uniprot.org/uniprot/A0A0U3H790
SACI_RS08470,0.3824457116169853,paaI_2,phenylacetate-CoA oxygenase subunit PaaI,Function unknown,Op1002,,Saci_1771,"paaI, boxB",https://www.uniprot.org/uniprot/A0A0U3FSM1
SACI_RS08475,0.2157809006075219,crt_2,enoyl-CoA hydratase/isomerase family protein,Lipid transport and metabolism,Op1003,,Saci_1772,,https://www.uniprot.org/uniprot/A0A0U3GMZ0
SACI_RS08485,0.1845970957691646,bclA,benzoate-CoA ligase family protein,Lipid transport and metabolism,Op1005,,Saci_1774,,https://www.uniprot.org/uniprot/A0A0U3HIU5
