,csiD
Cr_1,0.00369102072036504
Cr_2,0.00868969503101122
Cr_3,0.015267608327453512
Cr_4,0.025834428084610464
Cr_5,0.03313518529908895
Cr_6,0.03790337807685065
Fe_1,-0.009980662824392991
Fe_2,-0.03877545500505509
Fe_3,-0.06596767849485674
Fe_4,-0.09594204037411734
Fe_5,-0.11874377707014384
Fe_6,-0.13797867392309932
Cd_1,0.003688815227262181
Cd_2,0.004123633172001432
Cd_3,0.007202929998257528
Cd_4,0.009009442432471955
Cd_5,0.01055946823955936
Cd_6,0.014074142523523556
Zn_1,-0.00921170897423332
Zn_2,-0.016188220642636333
Zn_3,-0.01765015971273937
Zn_4,-0.012316755431502064
Zn_5,-0.00785007692638795
Zn_6,-0.0054821717233989
Cu_1,0.0016752004844768616
Cu_2,0.010264023074363138
Cu_3,0.02096742563351696
Cu_4,0.02694629813292302
Cu_5,0.032243294872513636
Cu_6,0.04089835527761751
Pb_1,0.007207296827684886
Pb_2,0.016101230485117718
Pb_3,0.030729293620224044
Pb_4,0.047213857604621975
Pb_5,0.05942607698971088
Pb_6,0.07350509657440454
