,eutR
Cr_1,0.007664431822997945
Cr_2,0.017113333536986162
Cr_3,0.017827782708034437
Cr_4,0.024694848990046262
Cr_5,0.02803926205469408
Cr_6,0.026199738686043847
Fe_1,-0.008947158379487303
Fe_2,-0.035275894570516816
Fe_3,-0.06508824235034548
Fe_4,-0.08974738992357317
Fe_5,-0.11145000730239213
Fe_6,-0.12245263564892347
Cd_1,0.005305388857593153
Cd_2,0.010564838023018686
Cd_3,0.015339756364492476
Cd_4,0.021350322599506085
Cd_5,0.019688620469983733
Cd_6,0.02705599136408906
Zn_1,-0.0029975775054280128
Zn_2,-0.013180899524405541
Zn_3,-0.008042503804358982
Zn_4,0.0006733929663390098
Zn_5,0.011902219067046256
Zn_6,0.024971326266262712
Cu_1,0.0004973971471342332
Cu_2,0.0007424361239591278
Cu_3,0.004668438484410589
Cu_4,0.009518597654726905
Cu_5,0.012380866928494114
Cu_6,0.02395744424754257
Pb_1,0.0006099668137754058
Pb_2,0.00160837387352542
Pb_3,0.004209724183509771
Pb_4,0.007748730642326812
Pb_5,0.013034106961240856
Pb_6,0.02047870265324491
