,dppB
Cr_1,-0.001485022476475413
Cr_2,0.0005221319382495086
Cr_3,0.000798885977554184
Cr_4,-0.0018782785484340785
Cr_5,-0.003841475082704779
Cr_6,-0.00928544599930812
Fe_1,-0.007715394178025366
Fe_2,-0.02050378253662161
Fe_3,-0.02146414603542761
Fe_4,-0.02134445097462455
Fe_5,-0.017926342632206986
Fe_6,-0.010214694223599323
Cd_1,-0.001865954977497255
Cd_2,-0.00529749330455884
Cd_3,-0.0020378897953719677
Cd_4,-0.0023866399527817943
Cd_5,-0.004428645030884146
Cd_6,-0.0008927337870306978
Zn_1,-0.0022195315198618
Zn_2,0.008231750020418673
Zn_3,0.019435261509864882
Zn_4,0.024624903436163786
Zn_5,0.034732732817404265
Zn_6,0.04291419895566772
Cu_1,-0.005822125696404474
Cu_2,-0.003991965143621868
Cu_3,-0.0021052487566603864
Cu_4,-0.006704620110813473
Cu_5,-0.005238442299374689
Cu_6,-0.0056772182449333795
Pb_1,-0.006297839908452443
Pb_2,-0.0024320869055193964
Pb_3,-0.004569954461821335
Pb_4,0.003255270030220038
Pb_5,0.0019728919248061553
Pb_6,0.012023880829590224
