,b4571_2
control__wt_glc__1,5.2672909318
control__wt_glc__2,5.0215737303
fur__wt_dpd__1,4.5613632506
fur__wt_dpd__2,4.6452184811
fur__wt_fe__1,5.6138712056
fur__wt_fe__2,5.6600683044
fur__delfur_dpd__1,4.217953296
fur__delfur_dpd__2,5.1140186796
fur__delfur_fe2__1,5.4456838109
fur__delfur_fe2__2,5.233045516
acid__wt_ph5__1,5.1126072169
acid__wt_ph5__2,5.1879390363
acid__delgadx_ph5__1,5.3593661488
acid__delgadx_ph5__2,5.8543582978
acid__delgadw_ph5__1,5.516125752
acid__delgadw_ph5__2,5.2913267004
acid__delgade_ph5__1,5.0323605237
acid__delgade_ph5__2,5.1733709288
oxidative__wt_pq__1,4.4853453632
oxidative__wt_pq__2,3.7167373060999997
oxidative__deloxyr_pq__1,4.5304442773
oxidative__deloxyr_pq__2,4.9079175643
oxidative__delsoxr_pq__1,4.3871785092
oxidative__delsoxr_pq__2,4.5766349977
oxidative__delsoxs_pq__1,5.1832396056
oxidative__delsoxs_pq__2,4.9336633545
nac_ntrc__wt_csn__1,4.4632014155
nac_ntrc__wt_csn__2,4.4676761633
nac_ntrc__wt_cytd__1,4.7102671557
nac_ntrc__wt_cytd__2,4.6385063505
nac_ntrc__wt_gln__1,5.3112208568
nac_ntrc__wt_gln__2,4.86289451
nac_ntrc__bw_delnac_csn__1,4.5657062731
nac_ntrc__bw_delnac_csn__2,2.805750807
nac_ntrc__bw_delnac_cytd__1,4.6486292667
nac_ntrc__bw_delnac_cytd__2,4.5411240086
nac_ntrc__bw_delnac_gln__1,4.2772035503
nac_ntrc__bw_delnac_gln__2,4.1788915013
nac_ntrc__bw_delnac_nh4__1,5.0592510115
nac_ntrc__bw_delnac_nh4__2,4.7228420746
misc__wt_no_te__1,5.2216313722
misc__wt_no_te__2,5.2006485856
misc__bw_delcbl__1,5.3700799941
misc__bw_delcbl__2,5.4443460887
misc__bw_delfabr__1,4.6694422305
misc__bw_delfabr__2,4.8662878292
misc__bw_delfadr__1,5.5417416622
misc__bw_delfadr__2,5.042533827
misc__nitr_031__1,4.5199482318
omics__wt_glu__1,6.8307760331
omics__wt_glu__2,6.5106481231
omics__wt_gly__1,6.3100443098
omics__wt_gly__2,6.6271757368
omics__wt_thr__1,7.0577271539
omics__wt_thr__2,6.8834018298
omics__bw_ac__1,5.6410494303
omics__bw_ac__2,5.9751524388
omics__bw_fum__1,5.1182867909
omics__bw_fum__2,5.2389579083
omics__bw_glc__1,4.9698663573
omics__bw_glc__2,5.1005227374
omics__bw_pyr__1,5.4857842896
omics__bw_pyr__2,5.3966086515
ompr__wt_nacl__1,4.0726632798
ompr__wt_nacl__2,4.4351730921
ompr__bw_delompr_nacl__1,5.0236122677
ompr__bw_delompr_nacl__2,5.3694153866
minspan__wt_ade__1,6.9463647079
minspan__wt_glc__1,6.4135147318
minspan__wt_glc__2,6.3168792023
minspan__wt_glc__3,7.0081059464
minspan__wt_glc__4,6.9216697536
minspan__wt_glc_anaero__1,6.9703475431
minspan__wt_glc_anaero__2,6.6985836546
minspan__wt_trp__1,7.2005075766
minspan__bw_delcra_glc__1,6.5329537431
minspan__bw_delcra_glc__2,6.7098277945
minspan__bw_delcra_trp__1,7.2585804337
minspan__bw_delmntr__1,6.3190917421
minspan__bw_delnac_ade__1,7.1172757185
minspan__bw_delnac_glc__1,6.8370609322
cra_crp__wt_ac__1,6.5652005927
cra_crp__wt_ac__2,6.6887236786
cra_crp__wt_fru__1,6.3316730837
cra_crp__wt_fru__2,6.4621861131
cra_crp__delcra_ac__1,5.4188877235
cra_crp__delcra_ac__2,5.0489158195
cra_crp__delcra_fru__1,5.4675261968
cra_crp__delcra_fru__2,5.2661893702
cra_crp__delcra_glc__1,5.1417577341
cra_crp__delcra_glc__2,5.1799073428
rpoB__wt_031__1,5.7056993492
rpoB__wt_044__1,5.4085137099
rpoB__wt_lb__1,4.4033629417
rpoB__wt_lb__2,4.8701918627000005
rpoB__rpoBE546V_031__1,5.264722955
rpoB__rpoBE546V_044__1,5.2200774723
rpoB__rpoBE546V_lb__1,3.4572268192
rpoB__rpoBE546V_lb__2,4.1842763812
rpoB__rpoBE546V_glc__1,6.0906900376
rpoB__rpoBE672K_glc__1,4.9129331764
rpoB__rpoBE672K_glc__2,4.7931625609
rpoB__rpoBE672K_lb__1,3.6505612961000002
rpoB__rpoBE672K_lb__2,4.2143338566
crp__wt_fru__1,5.6771676047
crp__wt_glyc__1,5.2374877505
crp__wt_glyc__2,5.6443370193
crp__delar1_glyc__1,5.8087822503
crp__delar1_glyc__2,5.5276283939
crp__delar1ar2_glyc__1,5.0614127945
crp__delar1ar2_glyc__2,5.3337084411
crp__delar1ar2_glyc__3,4.9675042483
crp__delar2_glyc__1,4.7278596348
crp__delar2_glyc__2,4.6994427657
crp__delar2_glyc__3,4.3935850053
crp__delcrp_fru__1,3.8151942525
crp__delcrp_fru__2,4.1588991644
crp__delcrp_fru__3,4.5991930604
crp__delcrp_glc__1,4.2740529001
crp__delcrp_glc__2,4.0645566695
crp__delcrp_glc__3,4.4626442932
crp__delcrp_glyc__1,4.2314331664000004
crp__delcrp_glyc__2,4.7533584885
crp__delcrp_glyc__3,4.4273773966
glu__glu_ale3__1,4.3580608252
glu__glu_ale4__1,3.8729015379
glu__glu_ale5__1,4.2261148221
glu__glu_ale6__1,4.808359466
glu__glu_ale8__1,5.2450460164
glu__glu_ale9__1,4.3712360236
glu__glu_ale10__1,5.1750583687
42c__wt_42c__1,5.2294541116
42c__42c_ale1__1,5.8880606881
42c__42c_ale2__1,4.038436523
42c__42c_ale3__1,4.6495444777
42c__42c_ale4__1,4.4677330037
42c__42c_ale5__1,4.9061770058
42c__42c_ale6__1,5.3325143287
42c__42c_ale8__1,4.8957991158
42c__42c_ale9__1,4.4513197539
42c__42c_ale10__1,5.0939710221
ssw__wt_ac__1,5.1186199714
ssw__wt_glc__1,6.9290726282
ssw__wt_glyc__1,6.6633187374
ssw__wt_xyl__1,6.4678987881
ssw__glc_ale1__1,6.0765124581
ssw__glc_ale2__1,5.7808044313
ssw__glc_ale3__1,5.6375133957
ssw__glyc_ale1__1,5.4682391987
ssw__glyc_ale2__1,5.1911613283
ssw__xyl_ale1__1,5.4170261144000005
ssw__xyl_ale2__1,5.9102432598
ssw__xyl_ale3__1,5.7204147751
ssw__glc_ac_ac2__1,5.7945376042
ssw__glc_ac_glc1__1,5.1188303318
ssw__glc_ac_glc2__1,5.2574168253
ssw__glc_glyc_glc__1,5.9237854299
ssw__glc_glyc_glyc__1,4.764700777
ssw__glc_xyl_glc__1,4.3804819478
ssw__glc_xyl_xyl__1,5.4849241996
pgi__glu4_delpgi__1,4.4883126614
pgi__pgi_ale1__1,5.5452242752
pgi__pgi_ale2__1,5.4351099505
pgi__pgi_ale3__1,5.1649493856
pgi__pgi_ale5__1,5.2285652305
pgi__pgi_ale6__1,5.6958580809
pgi__pgi_ale7__1,5.1830989292
pgi__pgi_ale8__1,5.31937533
ica__wt_glc__1,5.2138088033
ica__wt_glc__2,5.4854880214
ica__wt_glc__3,4.7618147481
ica__wt_glc__4,5.2465256641
ica__arg_sbt__1,4.8105192073000005
ica__arg_sbt__2,5.2448920784
ica__cytd_rib__1,4.7663972788
ica__cytd_rib__2,4.4301455329
ica__gth__1,4.0588279099
ica__gth__2,3.6744427051
ica__leu_glcr__1,5.2515749972
ica__leu_glcr__2,5.3569416794
ica__met_glc__1,5.6419187154
ica__met_glc__2,5.3321268637
ica__no3_anaero__1,6.0909175538
ica__no3_anaero__2,5.9482000097
ica__phe_acgam__1,5.4495881338
ica__phe_acgam__2,5.0609808235
ica__thm_gal__1,5.3397870485
ica__thm_gal__2,4.8374193612
ica__tyr_glcn__1,5.3285743482
ica__tyr_glcn__2,5.0049736395
ica__ura_pyr__1,5.8252209652
ica__ura_pyr__2,6.1776135363
ica__wt_glc__5,5.0521780575
ica__wt_glc__6,5.2708228274
ica__bw_delpurR_cytd__1,5.3802863431
ica__bw_delpurR_cytd__2,5.4234859466
ica__ade_glc__1,5.2868909735
ica__ade_glc__2,5.0862280307
ytf__wt_glc__1,6.4755870156
ytf__wt_glc__2,6.2563479854
ytf__delyafC__1,5.1438277752
ytf__delyafC__2,5.3186829932
ytf__delyeiE__1,5.3588181227
ytf__delyeiE__2,4.6968605896
ytf__delyiaJ__1,6.4838516974000004
ytf__delyiaJ__2,6.3175417816
ytf__delyieP__1,6.541466328
ytf__delyieP__2,6.8636815027
ytf__wt_ph5__1,6.193694977
ytf__wt_ph5__2,5.8262820681
ytf__wt_ph8__1,5.2898774573
ytf__wt_ph8__2,5.9264016911
ytf__delybaO__1,5.5417929208
ytf__delybaO__2,6.0268797609
ytf__delybaQ__1,5.2830647884
ytf__delybaQ__2,5.5810759735
ytf__delybiH__1,6.2307192753
