,-0.13801521766153846,-0.11501268138461539,-0.09201014510769231,-0.06900760883076924,-0.04600507255384617,-0.0230025362769231,-2.7755575615628914e-17,0.023002536276923058,0.046005072553846116,0.06900760883076917,0.09201014510769226,0.11501268138461535,0.1380152176615384,0.16101775393846146,0.18402029021538457,0.20702282649230763,0.2300253627692307,0.25302789904615375,0.2760304353230768,0.2990329715999999
thresh,-0.1495164858,0.1495164858,24,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,25,418,2187,325,15,1,0,0,0,0,0,0,0,0,0,0
NsrR,0,0,0,0,0,5,24,5,0,0,0,0,0,0,0,0,0,0,0,0
Fur,0,0,0,0,1,17,51,13,5,0,0,0,0,0,0,0,0,0,0,0
ppGpp,0,0,0,0,3,103,606,97,3,1,0,0,0,0,0,0,0,0,0,0
IscR,0,0,0,0,0,4,13,5,1,0,0,0,0,0,0,0,0,0,0,0
OxyR,0,0,0,0,1,4,12,1,1,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,0,20,91,19,2,0,0,0,0,0,0,0,0,0,0,0
NsrR and ppGpp,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
NsrR and OxyR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NsrR and IHF,0,0,0,0,1,1,14,9,1,0,0,0,0,0,0,0,0,0,0,0
Fur and ppGpp,0,0,0,0,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Fur and OxyR,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Fur and IHF,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0
ppGpp and OxyR,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and IHF,0,0,0,0,0,11,20,14,0,0,0,0,0,0,0,0,0,0,0,0
"Fur, ppGpp, and OxyR",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fur, ppGpp, and IscR",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fur, ppGpp, and IHF",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"NsrR, Fur, and ppGpp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NsrR, ppGpp, and OxyR",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NsrR, ppGpp, and IHF",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ppGpp, OxyR, and IHF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"NsrR, Fur, and IHF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"NsrR, Fur, ppGpp, IscR, OxyR, and IHF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NsrR_genes,[],[],[],[],[],['cdd' 'grxD' 'yeaR' 'norR' 'pgpC'],"['mepH' 'ytfE' 'ydbD' 'aceF' 'mhpT' 'rffM' 'dkgB' 'feaR' 'rffT' 'rffH'
 'feaB' 'dsdC' 'wecE' 'wzyE' 'rpmI' 'aceE' 'wzxE' 'ygbA' 'rffG' 'thrS'
 'yeaE' 'rfe' 'yoaG' 'tehA']",['tehB' 'bamE' 'wzzE' 'bdcA' 'pheT'],[],[],[],[],[],[],[],[],[],[],[],[]
Fur_genes,[],[],[],[],['entE'],"['ompW' 'fepD' 'gspD' 'nohA' 'fepG' 'entS' 'fhuA' 'fes' 'gspE' 'cyoA'
 'gspH' 'oppF' 'gspG' 'gspK' 'fhuC' 'cyoE' 'zwf']","['ftnA' 'rcnB' 'oppA' 'entA' 'ydfN' 'gspF' 'fhuE' 'sdhB' 'garP' 'cyoB'
 'fhuD' 'entB' 'soxS' 'oppD' 'sdhC' 'cyoC' 'feoA' 'sdhD' 'grcA' 'cyoD'
 'entC' 'amtB' 'metJ' 'lpd' 'fecD' 'glnK' 'fecB' 'entH' 'garK' 'aspC'
 'gspJ' 'cirA' 'gspL' 'fumB' 'gnd' 'sdhA' 'oppC' 'fecE' 'ygaC' 'soxR'
 'fepE' 'tfaQ' 'feoC' 'fepC' 'fecC' 'glnD' 'gspM' 'fecA' 'garL' 'oppB'
 'garR']","['fhuB' 'gspO' 'feoB' 'exbB' 'ybdZ' 'gpmA' 'rcnA' 'tonB' 'fumC' 'exbD'
 'entD' 'fecI' 'fepB']",['fiu' 'nfeF' 'entF' 'fepA' 'fecR'],[],[],[],[],[],[],[],[],[],[],[]
