,A,IscR,ihfB,NsrR,Fur,OxyR
R2,,0.2740017661799795,0.14347560906716106,0.03433442117453778,0.020808792418743893,0.013078532348593463
xmin,,-4.0695735795,-2.385835026,-0.897082636,-9.893921886,-7.3223905695
xmid,,-0.5306185668038841,,2.782772436451241,-0.9131704130595594,-0.6393159183489145
xmax,,2.4171227035,1.646649845,5.797296702,2.690967164,1.1449694235
ystart,,-2.2881364263394905,-6.579138937538126,-0.7193587898835574,-1.4577204047431154,-0.8589667373232459
yend,,6.192256264437352,3.604460571496639,3.8022714422368153,2.38432909136609,2.2657319565666105
control__wt_glc__1,-0.30672332220000004,0.0456627245,0.08337238500000001,0.020173297,-0.05856442,-0.1081252855
control__wt_glc__2,0.30672332220000004,-0.0456627245,-0.08337238500000001,-0.020173297,0.05856442,0.1081252855
fur__wt_dpd__1,10.3037141405,1.8478925535,0.7158603250000001,0.021329234000000002,-0.195719219,-0.3918510385
fur__wt_dpd__2,10.4616775497,1.9558987335,0.8566654450000001,-0.09268174200000001,-0.214364089,-0.4480737175
fur__wt_fe__1,-1.8589621134,-0.5951839575,-0.076995065,-0.16230739300000002,-0.127927685,-0.1996109245
fur__wt_fe__2,-1.707164519,-0.8290032915000001,-0.086717445,0.133872327,-0.036050093000000005,-0.3065217235
fur__delfur_dpd__1,9.7715592684,1.6672951535,0.689803445,0.13012690300000002,-9.893921886,-0.3722405595
fur__delfur_dpd__2,9.9047594329,1.6137390935,0.621869415,0.014325489,-9.018917863,-0.4208417975
fur__delfur_fe2__1,4.2009827036,0.19476297950000002,0.365818715,0.056326931000000004,-9.893921886,-0.1370534665
fur__delfur_fe2__2,3.9216437968,0.24935814050000002,0.335810425,0.104587068,-9.893921886,-0.1774416935
acid__wt_ph5__1,0.7642669998,-0.1627929405,0.284257435,0.067137895,-0.38185324400000004,-0.1679093065
acid__wt_ph5__2,0.8876867273,-0.1503057615,0.301657345,0.180477998,-0.429145386,-0.18165538250000002
acid__delgadx_ph5__2,0.30770406850000004,-0.5434340895,0.036205125000000005,-0.14339964400000002,-0.37117846200000004,-0.3418093025
acid__delgadw_ph5__1,0.0516229791,-0.1555100425,0.19517709500000002,0.313253426,-0.452975416,-0.3140331925
acid__delgadw_ph5__2,0.39490115340000004,-0.3531432135,0.183183425,0.062197392000000004,-0.39381758800000005,-0.32090364050000003
acid__delgade_ph5__1,0.3505693362,-0.0257042175,0.33218594500000004,0.08034081,-0.353113338,-0.14734041550000002
acid__delgade_ph5__2,0.5186939641,0.0489586425,0.239560985,0.289266735,-0.38769100100000004,-0.12434423750000001
oxidative__wt_pq__1,8.0566092271,-0.2712843035,0.946614625,1.94248497,0.358912004,0.4065757565
oxidative__wt_pq__2,8.1702167716,-0.2193664525,0.9488081850000001,0.775742355,0.424605604,0.4663710915
oxidative__deloxyr_pq__1,4.3619915041,-0.1114025295,0.874908725,1.352115944,0.7270403440000001,-7.3223905695
oxidative__deloxyr_pq__2,4.0035624721,-0.0829639935,0.9672342150000001,1.027233735,0.680972684,-7.2472015085
oxidative__delsoxr_pq__1,8.7468707259,0.2789859455,1.071325345,0.35141787300000005,-0.46000364200000005,0.4224045575
oxidative__delsoxr_pq__2,8.374746783199999,0.21956744450000001,1.168231695,0.5156249030000001,-0.471555094,0.3283901675
oxidative__delsoxs_pq__1,7.9576056726,0.0871052615,1.135143795,0.9125774830000001,-0.492841931,0.5741355695
oxidative__delsoxs_pq__2,8.2834881185,-0.0030748825000000003,1.020138575,0.89722094,-0.53716116,0.5985670835
nac_ntrc__wt_csn__1,2.2200554914,0.6408668525,0.172544145,0.46911484000000003,0.35313890400000003,-0.4189141985
nac_ntrc__wt_csn__2,2.6661856199000002,0.6687906665000001,0.213025175,0.47314755000000003,0.217593104,-0.3099967165
nac_ntrc__wt_cytd__1,1.7630388852,0.5061316715,0.457530655,-0.282956817,0.346499224,-0.20551874650000002
nac_ntrc__wt_cytd__2,1.6003616834,0.5525669785,0.597994515,-0.10220717900000001,0.345243954,-0.2493221025
nac_ntrc__wt_gln__1,0.0695208071,-0.1890163145,1.040972635,0.27314687,-0.107863365,-0.2058091705
nac_ntrc__wt_gln__2,-0.49636074680000003,-0.1537749685,1.115534085,0.13873977,-0.193602928,-0.1138715545
nac_ntrc__bw_delnac_csn__1,4.5803709953,2.1867698735,0.215499185,0.9049030650000001,0.189864784,-0.5718306155
nac_ntrc__bw_delnac_csn__2,4.8477034571,2.0999320335,-0.16648385500000001,0.8081028410000001,0.311143514,-0.1799272375
nac_ntrc__bw_delnac_cytd__1,0.4816522697,0.1769643995,0.46454559500000003,0.598621205,-0.02804138,-0.1563031785
nac_ntrc__bw_delnac_cytd__2,0.7447350602,0.1569234015,0.423041565,0.8011400350000001,-0.165441159,-0.1675225945
nac_ntrc__bw_delnac_gln__1,2.1823136067,0.5207613895000001,0.8464916450000001,0.820466561,-0.358506798,-0.1807452805
nac_ntrc__bw_delnac_gln__2,2.2027606649,0.4931005565,0.8042016750000001,0.47354252900000005,-0.237658523,-0.33312143250000004
nac_ntrc__bw_delnac_nh4__1,0.3037105156,0.3479404285,-0.302034215,-0.06351694100000001,-0.48028834600000003,-0.1993380355
nac_ntrc__bw_delnac_nh4__2,-0.0745985782,0.2586638335,-0.19284083500000002,0.10809149500000001,-0.45890349,-0.1702346615
misc__wt_no_te__1,7.1569307391,1.3442338034999999,0.868944275,0.5150649900000001,-0.380946999,-0.1135025685
misc__wt_no_te__2,6.099117213,1.1245514635,0.509379655,0.14068449100000002,-0.424414491,-0.1290555645
misc__bw_delcbl__1,3.1739453697,0.7385676575,-0.339403675,0.55209571,-0.46137134300000004,-0.2321644455
misc__bw_delcbl__2,3.0928369297,0.7530809075,-0.297203465,0.5220822150000001,-0.424360053,-0.1655780705
misc__bw_delfabr__1,0.3162798052,0.3850684525,-0.6204796650000001,0.012872896,-0.5693764170000001,-0.1458814505
misc__bw_delfabr__2,0.5042403219,0.2957413695,-0.5922961330000001,0.18995863000000002,-0.613082707,-0.16644321450000002
misc__bw_delfadr__1,4.8603697998,0.8428736235000001,-0.26224984500000004,0.349043107,-0.44849048700000005,-0.08309116350000001
misc__bw_delfadr__2,3.9057326502,0.7813527195000001,-0.136506935,0.74366254,-0.440752898,0.022310990500000003
misc__nitr_031__1,2.0932810307,0.4241178675,0.036167395000000005,0.79582887,-0.50327982,-0.3045469085
omics__wt_glu__1,-3.9554492176,-0.10940197850000001,-0.13827825500000002,-0.37410638900000004,-0.630133567,-0.5431214025000001
omics__wt_glu__2,-3.6845064165,-0.2854072865,-0.251474605,-0.5305232790000001,-0.588191276,-0.4748256745
omics__wt_gly__1,-2.0111104138,-0.4520901975,-0.8723242170000001,-0.5405871990000001,-0.904279075,-0.2586389655
omics__wt_gly__2,-2.0561285192,-0.5037390715,-0.871424807,-0.7345762330000001,-0.918647058,-0.2489694985
omics__wt_thr__1,-4.7166498237,-2.7516155214999998,-0.185728995,-0.897082636,-0.50309914,-0.24507301550000002
omics__wt_thr__2,-4.1499223089,-3.0925110875,-0.34076356500000005,-0.639940578,-0.609504574,-0.33987982850000004
omics__bw_ac__1,-0.3501146732,0.6736457525,0.647908585,0.5708816010000001,-0.059433047,-0.39547401050000003
omics__bw_ac__2,-0.7190902781,0.6667075045,0.605473425,0.6523841450000001,-0.031227748000000003,-0.4315139685
omics__bw_fum__1,-3.351585352,-0.4284341015,0.018456405000000002,0.050789862000000005,-0.005709301,-0.3313545775
omics__bw_fum__2,-3.3674705326,-0.27285593150000004,-0.006356255000000001,0.41931401300000004,0.06492178400000001,-0.3578000145
omics__bw_glc__1,-1.9289208663,0.1927720155,0.164126605,0.367309645,-0.011917744000000001,-0.2077545215
