,A,IscR,ihfB,NsrR,Fur,OxyR
omics__bw_glc__2,-1.7633869119,0.2654364665,0.15512309500000002,0.44822874900000004,0.042641122000000004,-0.0215452965
omics__bw_pyr__1,-2.6757962733,0.3118894175,0.644921705,1.105332901,-0.189724267,-0.1661262665
omics__bw_pyr__2,-1.9562757809,0.4249970495,0.659472645,1.07491648,-0.117464833,-0.1821611935
ompr__wt_nacl__1,9.6281320422,0.0778583015,0.277552005,0.281356205,-0.400303825,-1.4465105894999999
ompr__wt_nacl__2,9.4794178518,0.1305278205,0.08413458500000001,0.283185878,-0.504065686,-1.2158865535
ompr__bw_delompr_nacl__1,6.7168807238,-0.1568180505,0.009492215,0.581986051,-0.632963179,-1.0717352625
ompr__bw_delompr_nacl__2,6.7292671828,-0.1972433885,-0.13246892500000002,0.31094883900000003,-0.543296344,-1.2333115975
minspan__wt_ade__1,-2.100790564,-0.7038919315000001,0.323090545,0.9553744260000001,0.19507696400000002,-0.9075011695
minspan__wt_glc__2,-1.5711421693,-2.2994390485,-0.0050519250000000005,0.573144505,-0.5062775780000001,-0.7476330745
minspan__wt_glc__3,-1.5376077249,-2.4040930715,0.045105535,0.490582703,-0.44786492600000005,-0.9997614055
minspan__wt_glc__4,-1.5557698368000001,-2.4029733085,-0.07972467500000001,0.636541926,-0.415952254,-0.7447434655
minspan__wt_glc_anaero__1,-5.8560751314,-2.4654451325,-0.17243101500000002,0.571206257,-0.8732856050000001,-1.0412229585
minspan__wt_glc_anaero__2,-4.6494574934,-2.3829117585,-0.170063665,1.229218782,-1.157357443,-0.5333412675
minspan__wt_trp__1,-2.6581257276,-3.3858287435,0.631325145,1.240223179,-0.868235834,-0.3834076595
minspan__bw_delcra_glc__2,-2.2480214826,-3.1674042465,0.5065485750000001,1.136693301,-0.918542673,-0.27600491050000003
minspan__bw_delcra_trp__1,-3.0241541965,-3.5191007145,0.906130685,1.508709214,-1.00502228,-0.6046629535
minspan__bw_delmntr__1,-4.1425117301,-2.6167947685,0.004072415,1.012157494,-0.6837856210000001,0.0164189645
minspan__bw_delnac_ade__1,0.5919897647,-1.6183718135,0.073518865,1.711011552,-0.107717401,-1.2418590145
minspan__bw_delnac_glc__1,-2.7670615190000003,-1.7819582225000001,0.12347822500000001,0.6794163440000001,-0.467616242,-0.7684764395
cra_crp__wt_ac__1,-1.0570957318,0.4353885535,-0.30622956500000004,-0.44993362800000003,-0.418468514,-1.2459585425
cra_crp__wt_ac__2,-1.0036407758,0.35113159850000003,-0.352816565,-0.730063984,-0.483728046,-1.1455232055
cra_crp__wt_fru__1,-1.9766605523,0.4117879055,-0.26311180500000003,-0.131796416,-0.592770205,-0.6898650915
cra_crp__wt_fru__2,-2.56650457,0.4260384205,-0.088390225,-0.42652408300000005,-0.568478295,-0.8067937475
cra_crp__delcra_ac__1,5.1534487731,1.3802863935,0.08919740500000001,0.04454824,-0.24041298600000002,-0.45943224050000003
cra_crp__delcra_ac__2,5.2584780798,1.2068412335,0.021087685000000002,0.362808789,-0.248563267,-0.4761669905
cra_crp__delcra_fru__1,5.4101812618,1.1164933135,0.279636635,0.238047434,-0.480410486,-0.12078040350000001
cra_crp__delcra_fru__2,5.4432066386999995,1.1712108935,0.32569436500000004,0.19114756800000002,-0.45491749600000003,-0.1552402065
cra_crp__delcra_glc__1,1.0392176512,0.1265660275,-0.027273645000000003,0.0035918480000000003,-0.504451831,-0.1046018405
cra_crp__delcra_glc__2,0.6156491017,0.3054025405,-0.13678458500000001,-0.072678668,-0.5782221740000001,-0.0338630295
rpoB__wt_031__1,-2.2714955535,-0.0131105065,-0.018986005,0.283735575,-0.06396236200000001,-0.3449942185
rpoB__wt_044__1,-1.4883603344,-0.3553899145,-0.16863898500000002,0.148529138,-0.48135177,-0.3513566235
rpoB__wt_lb__1,1.2088603764,-0.2597101285,0.377391115,-0.24054387700000002,-0.40970317,-0.4529699505
rpoB__wt_lb__2,1.4636722295,-0.0940220705,0.29310171500000004,-0.18441849500000002,-0.439755649,-0.5032740525
rpoB__rpoBE546V_031__1,-3.3903750302,-0.1981652485,0.34542376500000005,0.376919339,-0.028183715,-0.3881231295
rpoB__rpoBE546V_044__1,-3.2101465002,-0.3023233225,0.433644805,-0.190925167,-0.123194439,-0.3097270755
rpoB__rpoBE546V_lb__1,-0.8864550498,0.3876143205,0.154811065,0.406909729,-0.354521452,-0.4103320025
rpoB__rpoBE546V_lb__2,-0.9473289943000001,0.3335515075,0.184431905,0.09353382,-0.336211197,-0.4889494455
rpoB__rpoBE546V_glc__1,-2.3688517419,-0.6545773315,-0.25137586500000003,0.519704221,-0.32011369,-0.09000047950000001
rpoB__rpoBE672K_glc__1,-1.5726669889,-0.5548539235000001,-0.868628418,0.6174610140000001,-0.38510412600000005,-0.5717059175
rpoB__rpoBE672K_glc__2,-1.8032976479,-0.48253716550000003,-0.841749195,0.7298292460000001,-0.29302495700000003,-0.5596853935
rpoB__rpoBE672K_lb__1,-3.2335099273,-0.7147466745000001,-0.730282673,-0.02570023,-0.5939588210000001,-0.9679668525
rpoB__rpoBE672K_lb__2,-4.590294511,-0.5751257595,-0.70811133,0.243677882,-0.634140758,-0.9159937825000001
crp__wt_fru__1,-2.1007464956,-0.1538534355,-0.120886425,0.61946109,-0.260037938,-0.3871375205
crp__wt_glyc__1,-2.9849050432,0.8547513035000001,-0.235195225,0.137116237,-0.322197604,-0.4173096645
crp__wt_glyc__2,-3.1939552551,-0.3558074865,-0.226979175,0.30496300800000004,-0.287365826,-0.5167248275
crp__delar1_glyc__1,3.2180085304,-2.7832181105,0.817711665,1.509348213,-0.469120586,-0.054450620500000005
crp__delar1_glyc__2,2.8946590355,-3.0178447755,0.8890342950000001,1.704118862,-0.348731532,0.2232446855
crp__delar1ar2_glyc__1,-0.5099097349,0.6731040555000001,0.427391075,0.7504187840000001,-0.127367114,-0.3087415325
crp__delar1ar2_glyc__2,-0.2102116319,0.41012534850000004,0.49290713500000005,0.68751336,-0.207661863,-0.22387192050000002
crp__delar1ar2_glyc__3,-0.0472794333,-0.1339333315,0.45579148500000005,0.648819624,-0.21472747900000003,-0.2399325655
crp__delar2_glyc__1,-2.2255219862,-3.5986451815000002,1.075854265,0.781720563,-0.40980044600000004,0.1394869225
crp__delar2_glyc__2,-2.3938844022,-4.0364308885,0.8624663450000001,0.58608858,-0.317628098,0.1519162385
crp__delar2_glyc__3,-3.1418080654000002,-4.0695735795,0.782298315,0.611267863,-0.21726345500000002,0.1177022425
crp__delcrp_fru__1,3.5585019764,0.8842177535,0.7741806250000001,0.9577972990000001,-0.356106085,-0.3219032375
crp__delcrp_fru__2,3.9783490942,0.8904258135,0.780515025,0.899609019,-0.412112491,-0.1366913865
crp__delcrp_fru__3,2.7151138,0.6880906795,0.668204965,1.157776128,-0.368307158,-0.3756417265
crp__delcrp_glc__1,2.5953192057,0.5061445015,0.9036337950000001,0.746629363,-0.310786963,-0.0688420555
crp__delcrp_glc__2,2.448663286,0.5291046865,0.880205215,0.7202495160000001,-0.203130993,-0.1157882055
crp__delcrp_glc__3,2.4649548852,0.5051303775,0.9120195050000001,1.060534864,-0.113717757,-0.0688141315
crp__delcrp_glyc__1,7.7177422539,2.0205139935,0.895131325,0.704616101,-0.31081626300000004,-0.0446154595
crp__delcrp_glyc__2,8.082559635500001,1.9986299435000001,0.8307353350000001,1.035891324,-0.272416987,-0.1298417085
crp__delcrp_glyc__3,8.4497845858,1.9790883135000001,0.894754805,0.936870708,-0.172980614,-0.2013303665
glu__glu_ale3__1,-1.3040742287,-1.6009051475,0.6064907850000001,1.03058246,-0.11348783900000001,0.5285798855
glu__glu_ale4__1,-1.704575481,-1.0016963245,-0.26191363500000003,-0.370654898,-0.404231708,0.009107618500000001
glu__glu_ale5__1,-2.0959596113,-1.1663339565,-0.846024697,-0.29044590800000003,-0.541371818,-0.3488621115
glu__glu_ale6__1,-6.8886851653,-0.0176637085,-0.775242359,-0.742739204,-0.510735197,-0.7081105395
glu__glu_ale8__1,-3.5999535856,-2.1667192575,0.6607472950000001,1.461755914,-0.174249173,0.5153997865000001
glu__glu_ale9__1,-5.7754459696,-1.1661499245,-0.066971575,0.565902303,-0.448683669,0.1834614625
glu__glu_ale10__1,-1.8813729233,-1.6417881635,0.21387256500000001,0.9057959550000001,-0.341837171,0.1218008205
42c__wt_42c__1,-0.1843398832,-2.4575876935,-0.314610025,0.23788202800000002,-0.6408752710000001,-0.1682068585
42c__42c_ale1__1,1.0478877156,-2.2310699415,0.116353545,0.58025079,-0.334999313,0.6111901275
42c__42c_ale2__1,1.2654034175,-1.1558483515,-0.254239745,0.8425240340000001,-0.700050626,-0.1122373675
42c__42c_ale3__1,0.7274909551000001,-0.0873328205,-0.295363645,0.6109513630000001,-0.42708929100000004,0.0488370745
42c__42c_ale4__1,2.8187103931,-1.6271670395,-0.598037926,1.6439763649999999,-0.444465149,0.0634520135
42c__42c_ale5__1,-1.5592661502,-0.1316764625,-0.42064137500000004,0.48512052600000005,-0.481719369,-0.5432408075
42c__42c_ale6__1,2.7134718729,-2.5998982164999997,-0.051506065000000004,1.420329502,0.29714986400000004,1.1449694235
42c__42c_ale8__1,2.1869249786,-1.8597095385,0.068028155,1.526764446,0.200874984,0.38481999850000004
42c__42c_ale9__1,-1.4486985776,-0.7200812265000001,-0.241751655,0.395020185,-0.52844176,-0.19007899350000002
42c__42c_ale10__1,0.4397764072,-2.4771315815,-0.179127275,1.258907849,0.188756154,0.3058746335
ssw__wt_ac__1,2.7164780434,0.6486137195,-0.346710805,0.7145953570000001,-0.30963029400000003,-1.3759561215
ssw__wt_glc__1,-1.7141857335,-0.3878714535,-0.342105245,-0.191093015,-0.262425489,-1.0027805915
ssw__wt_glyc__1,-4.2648831476,-0.8586396525000001,-0.589388949,1.329528588,-0.340352881,-0.2503675835
ssw__wt_xyl__1,-1.6515298512,1.8610122335,-0.050211675000000004,1.6739716119999999,0.022620157000000002,-0.1790851705
ssw__glc_ale1__1,-6.9305684696,-1.0072652435,0.112337685,1.616711031,-0.334013147,-0.2639531795
ssw__glc_ale2__1,-8.3390016097,-2.1673571075,0.8555401050000001,1.765400675,-0.30422876200000004,-0.0765549115
ssw__glc_ale3__1,-5.5452673965,-2.0429796715,0.353007465,2.109269137,-0.069263481,0.1906220305
ssw__glyc_ale1__1,-7.9372100137,-1.4553908515,0.5749310550000001,1.334232926,-0.500832661,0.1079745265
ssw__glyc_ale2__1,-6.5200371464,-1.6081065305000002,0.20948735500000001,2.155066257,-0.24338409100000002,-0.1670612955
ssw__xyl_ale1__1,-8.7499378424,-2.2262377765,0.125166975,1.803736969,-0.042690987,-0.5350650705000001
ssw__xyl_ale2__1,-5.4458588082,-1.3701193255000002,-0.22523246500000002,1.862583485,-0.175974286,-0.12520912550000002
ssw__xyl_ale3__1,-6.2960613883,-1.0613345825,-0.522299721,1.494426113,-0.457388622,-0.5141251435
ssw__glc_ac_ac2__1,-4.8226148102,-2.8955739525,0.171467045,1.656863021,-0.462616623,0.0884898465
ssw__glc_ac_glc1__1,-1.0382987967,0.3768149965,0.336416765,2.066028364,-0.09846648200000001,-0.4921805725
ssw__glc_glyc_glc__1,-3.6564717269,-2.4248607175,0.527257035,1.770613085,-0.35146302500000004,-0.06555387950000001
ssw__glc_glyc_glyc__1,-1.0437093421,-1.4000852695,0.27466824500000003,1.426342987,-0.365654229,-0.3702936075
ssw__glc_xyl_glc__1,-9.1366132068,-3.1615904875,-0.35453504500000005,1.224181075,-0.30815267100000004,-0.6754592145
ssw__glc_xyl_xyl__1,-0.32970464110000003,-0.0424251305,-0.20853702500000001,0.849997175,-0.283018388,-0.5623145625
ica__wt_glc__1,-2.0527372246,0.1281101495,-1.114766093,0.10688059999999999,-0.330674232,-1.1647344215
ica__wt_glc__2,-2.7350441792,-0.6755129645,-1.198454692,-0.050127576,-0.33224142500000003,-1.1733867595
ica__wt_glc__3,2.5196741065,0.8177502435,-0.531726669,0.6229227620000001,-0.13704924400000001,-0.4252113555
ica__wt_glc__4,2.237744354,0.9343578035000001,-0.262344285,0.8642868840000001,0.07660196600000001,-0.8413227025000001
ica__arg_sbt__1,0.2624041512,-2.3057029565000002,-0.713059603,-0.279461236,-0.6773337140000001,-1.0841013495
ica__arg_sbt__2,0.7587679354,-2.2652205835,-0.552746132,0.049809,-0.276123999,-1.0787044725
ica__cytd_rib__1,1.1971973566,-0.7296415565000001,0.8413076650000001,0.6155827030000001,0.271829614,-1.1548345755
ica__cytd_rib__2,0.7943288882,-0.7324475415,0.716887895,0.595694165,0.27839303400000004,-1.4943932255
ica__gth__1,1.9649993614,1.9711595135,0.23464762500000003,0.934750571,0.225799564,-0.6864709065
ica__gth__2,2.2009465171,1.7022854635,0.036029945,0.8873943030000001,0.525403084,-0.5690592065
ica__leu_glcr__1,0.7109908518,0.0404459825,-0.38924391500000005,-0.214215429,0.247358194,-1.1779433235
ica__leu_glcr__2,0.8771221909,-0.1998375795,-0.49012625,0.036752253000000006,0.24269203400000003,-1.3159117025
ica__met_glc__1,-3.8320294536,-0.9747721115,-1.2518318019999999,-0.468856521,-0.284150261,-1.2440466385
ica__met_glc__2,-3.01690264,-0.6945375085000001,-1.190588725,-0.10088342800000001,-0.296198756,-1.2261424635
ica__no3_anaero__1,2.1133940172,0.9822439135000001,-0.11737177500000001,0.642585794,-0.20281510300000002,-0.7140987165
ica__no3_anaero__2,2.3489624564,0.9359850035,-0.23463296500000003,1.017106255,-0.20778574200000002,-0.9501209665
ica__phe_acgam__1,-0.5957800057,-0.0451948255,-0.88716264,-0.245326185,-0.07753241500000001,-1.0313569195
ica__phe_acgam__2,-1.04206782,-0.19779656950000002,-1.056596459,-0.0013815140000000001,-0.071037353,-0.9785833985000001
ica__thm_gal__1,-0.1988596104,0.058481052500000005,-0.164828625,0.616521789,-0.038622112,-0.7195168935
ica__thm_gal__2,-0.49277076540000003,-0.1248930015,-0.156698685,0.693664181,-0.09654379,-0.7026251785000001
ica__tyr_glcn__1,-1.6906065187000001,-0.22006348350000002,-0.612021456,-0.09354770300000001,-0.104564449,-0.9694879705
ica__tyr_glcn__2,-2.1662828637000002,-0.9680653025,-0.6368662970000001,-0.036678569,-0.05732390800000001,-1.0167970505
ica__ura_pyr__1,3.2003390516,1.3056261835,-0.315836855,0.631704826,0.152544684,-0.9644738135
ica__ura_pyr__2,1.9737769576000002,0.8266393835,-0.11250578500000001,0.8128784010000001,0.22290704400000003,-1.1305137135
ica__wt_glc__5,-5.3298537656,-2.1773211125,-0.197048255,0.365455748,-0.148514853,-0.5388610005
ica__wt_glc__6,-5.2367130357,-1.4901872435,-0.016725155000000002,0.30462031700000003,-0.083556793,-0.5261020825
ica__bw_delpurR_cytd__1,-3.7222886773,-1.2755323255,-0.756265837,0.637337137,-0.38738019700000004,-0.9248504735
ica__bw_delpurR_cytd__2,-4.7965589734,-0.8832113855,-0.246303875,0.48519512600000003,0.31847041400000003,-0.4026754395
ica__ade_glc__1,-5.2115553088,-0.8792976145,-0.308254705,0.6671293580000001,0.251592404,-0.5064871135
ica__ade_glc__2,-3.5530342973,-0.8209002985,-0.753961313,0.150063036,-0.312228202,-0.9009499005
ytf__wt_glc__1,2.9914151862000002,-1.4824576034999999,0.048335155000000005,1.375020346,-0.11867013500000001,-0.7465721585
ytf__wt_glc__2,2.3652013892,-2.0603812475,0.008906585,1.5943903060000002,-0.12107829,-0.7122070205000001
ytf__delyafC__1,-2.476279816,-2.7030099605,0.9312559250000001,1.287007022,-0.40942488,-0.6445652655
ytf__delyafC__2,-0.6882673083,-2.5179299195000002,0.8762793350000001,1.57497783,-0.317496799,-0.5769429405000001
ytf__delyeiE__1,-2.0678730252,-1.5954725535,0.374492025,0.881222201,-0.131432835,-0.3036139975
ytf__delyeiE__2,-3.1571609231,-1.7443478465000002,0.10842385500000001,0.9321288590000001,-0.201141808,-0.6401710775
ytf__delyiaJ__1,-0.9882417067,-1.5527247485,0.8927779450000001,1.38238643,-0.32715426000000003,-0.6387944065000001
ytf__delyiaJ__2,0.2719343463,-0.6705940195,0.9751252050000001,1.48999328,-0.177771805,-0.6782936145
ytf__delyieP__1,-0.7387516717,-2.8049853555,0.41649266500000004,1.0752321,0.06414507800000001,-0.2085021155
ytf__delyieP__2,0.1802741783,-2.8073311545,0.42112533500000005,1.22071496,-0.029952843000000003,-0.4105978985
ytf__wt_ph5__1,0.8118852867,-0.5392783385000001,0.077391735,0.45224404900000004,-0.02597042,-0.9118704745
ytf__wt_ph5__2,0.228734815,-0.5577352355,0.130486615,0.562443949,0.104815375,-0.9170142135
ytf__wt_ph8__1,4.3870700873,0.7284445505,0.172641955,0.767532875,-0.058305663,-0.6687048935000001
ytf__wt_ph8__2,4.255991569,0.7310461505,0.207431095,0.365316146,-0.056770984000000003,-0.5954199155000001
ytf__delybaO__1,-3.0455539205,-2.7878394585,0.7855035850000001,1.031927709,-0.399775176,-0.6425739515000001
ytf__delybaO__2,-1.2861405750000001,-2.9369118675,0.670479245,1.273783718,-0.10475038,-0.2841707585
ytf__delybaQ__1,-0.6674426767,0.2351985885,-0.104676025,0.489803678,0.017150949000000002,-0.6108142025000001
ytf__delybaQ__2,-0.7840892620000001,0.19470296250000002,-0.139979205,0.5922798890000001,0.026472562,-0.6072561935
ytf__delybiH__1,6.4722811457,-1.5799505864999999,0.183526605,1.426113889,-0.21315872700000002,-0.6604464925
ytf__delybiH__2,5.4789768641,-2.2416398405,0.5048975450000001,1.936019291,-0.154431641,-0.38373789150000004
ytf__delydcI_ph5__1,0.6064031775000001,0.1482470595,-0.133531365,0.36276315800000003,-0.040899528000000004,-0.9952086625000001
ytf__delydcI_ph5__2,0.5362904723,0.1428020405,-0.094717825,0.42325857400000005,0.11847004400000001,-1.0559143555
ytf__delydcI_ph8__1,5.3998452972,1.1612323635,0.292940975,0.7392154870000001,0.05858913,-0.6927507895
ytf__delydcI_ph8__2,4.2719556097,0.6451977005,-0.073970795,0.422275304,0.016115785,-0.7724768655
ytf__delyddM__1,-1.6038769249,-0.4331929095,0.5608763050000001,1.076306375,0.07278404100000001,-0.3589342035
ytf__delyddM__2,-1.6741645762,-0.5150368165,0.493183935,1.202505729,0.20655213400000003,-0.3634035155
ytf__delyheO__1,-2.6458965142,-2.5827603775,0.7981991850000001,1.101974871,-0.450623278,-0.6413710035
ytf__delyheO__2,-1.8254313304,-2.7569997185,0.797997595,1.245134886,-0.24639368900000003,-0.37468471950000004
fps__bw_glc__1,-1.8215511304,-0.21265453350000002,-0.593982416,0.383742878,0.17435339400000002,-0.8902160585000001
fps__bw_glc__2,-1.3430180093000001,0.12423763850000001,-0.46387607100000006,0.6239512420000001,-0.023085952,-0.7286517805
fps__fps_thrA_ale1__1,-2.1506458659,0.0337493255,0.250692175,0.948231845,0.062007343000000006,-0.6539975915
fps__fps_thrA_ale1__2,-1.4318455101,-0.1453965915,0.117195875,0.753247207,-0.030022829,-0.8012200095
fps__fps_thrA_ale2__1,-2.320761207,-0.3061889535,-0.056704485000000006,0.6558649520000001,-0.099545278,-1.1462956155
fps__fps_thrA_ale2__2,-1.7410115476999999,-0.0770122905,-0.07788523500000001,0.851054626,-0.15577379300000002,-1.0022626945
fps__fps_serB_ale1__1,-1.2172066351,0.45435561350000003,-0.053282165000000006,0.770431339,0.085860289,-0.8879811465
fps__fps_serB_ale1__2,-1.0510551954,0.5196244345000001,-0.17460455500000002,0.7678160780000001,0.137285174,-0.8856957215
fps__fps_serB_ale4__1,-0.0481480159,0.5539195155000001,0.330804415,1.3827214890000001,0.508434594,-1.6096280735000001
fps__fps_serB_ale4__2,0.6848298416,0.7349826995000001,0.34874165500000004,1.227636981,0.5725869640000001,-1.3695951065
fps__fps_ptsI_ale1__1,-1.4015200595000001,0.0386785365,0.18153876500000002,0.8525659600000001,0.178700084,-1.5028601515
fps__fps_ptsI_ale1__2,-1.1212397919,-0.0143947845,0.07463568500000001,0.47796396700000005,0.13076157400000002,-1.3479942225000001
fps__fps_ptsI_ale3__1,-2.2824888538,-0.5700105755,-0.048072745,0.4569358,0.000418054,-1.2880432145
