,yhjR
Cr_1,-0.011212651679378774
Cr_2,-0.021860255840998318
Cr_3,-0.016207773608950926
Cr_4,-0.011079165780235177
Cr_5,-0.004808264887778653
Cr_6,-0.000328916804675072
Fe_1,-0.022520364461408395
Fe_2,-0.06603257812327973
Fe_3,-0.10894728732029167
Fe_4,-0.14997401051195575
Fe_5,-0.18134097735825155
Fe_6,-0.20467289349009085
Cd_1,-0.007162850479960617
Cd_2,-0.018173598994429056
Cd_3,-0.023433838729245628
Cd_4,-0.02293061021533756
Cd_5,-0.01969289020099867
Cd_6,-0.009023415763300395
Zn_1,-0.006281066517853556
Zn_2,-0.008133421926866127
Zn_3,-0.004755449284766132
Zn_4,-0.003061786645795223
Zn_5,0.00329789960573545
Zn_6,0.005600042010690454
Cu_1,0.00973362192909285
Cu_2,0.026182738389223636
Cu_3,0.03717082845309756
Cu_4,0.04413464256721382
Cu_5,0.05878918983032151
Cu_6,0.07586948095447513
Pb_1,-0.0017791458352288151
Pb_2,-0.0016363032209851045
Pb_3,0.004019378342732129
Pb_4,0.013556396014220042
Pb_5,0.019318825949850262
Pb_6,0.025745290956281683
