,entC
Cr_1,0.002114378351675727
Cr_2,0.006250958633551655
Cr_3,0.011370550613842435
Cr_4,0.01746392646512504
Cr_5,0.023347446146406808
Cr_6,0.02723298996515053
Fe_1,-0.003182080586941714
Fe_2,0.002975004458893359
Fe_3,-0.01019469184353381
Fe_4,-0.055033273575312194
Fe_5,-0.1090915576488892
Fe_6,-0.15836171329171092
Cd_1,0.0005033439966979173
Cd_2,0.004567608574584107
Cd_3,0.01037904663809112
Cd_4,0.013823443294213544
Cd_5,0.01043305471140711
Cd_6,0.013288189344781008
Zn_1,0.006097746822967973
Zn_2,0.026092164672367604
Zn_3,0.04401883601392175
Zn_4,0.05023517366324372
Zn_5,0.05234608603364476
Zn_6,0.047226795628571586
Cu_1,0.001782637954445864
Cu_2,0.010531693258434751
Cu_3,0.035160400164906284
Cu_4,0.055248059389684204
Cu_5,0.06873750471536913
Cu_6,0.08431640924469015
Pb_1,0.007423527249738547
Pb_2,0.014249697031274863
Pb_3,0.014825929505127441
Pb_4,0.023239615891065296
Pb_5,0.02926145456812525
Pb_6,0.035291622543972424
