,yifB
Cr_1,0.0003414989683867973
Cr_2,0.007699706095996717
Cr_3,0.01242243957622363
Cr_4,0.0194469045387568
Cr_5,0.02246149246442481
Cr_6,0.017939983005792397
Fe_1,-0.0066528601130103615
Fe_2,-0.021452483451073773
Fe_3,-0.03709087113735129
Fe_4,-0.04690559201984882
Fe_5,-0.062071386414891176
Fe_6,-0.06658722045385439
Cd_1,0.001508329876988877
Cd_2,0.0045016113197794035
Cd_3,0.0072121066883437095
Cd_4,0.009466133903906049
Cd_5,0.00499215734363988
Cd_6,0.0057672928353462525
Zn_1,0.002531059867684488
Zn_2,0.00963489697692568
Zn_3,0.01930503014694621
Zn_4,0.031168095013178243
Zn_5,0.04273326610776142
Zn_6,0.05309736943580835
Cu_1,-0.003005811954212736
Cu_2,-0.00863023754446525
Cu_3,-0.005384798122146244
Cu_4,-0.0027345795410136445
Cu_5,-0.002517147105571686
Cu_6,0.0015071610291298046
Pb_1,-0.0021428774138769146
Pb_2,0.0024054972914047718
Pb_3,0.00094377069482264
Pb_4,0.003517129333846344
Pb_5,0.005040048996514979
Pb_6,0.018539988664700132
