,-0.15750000000000003,-0.12250000000000003,-0.08750000000000002,-0.05250000000000002,-0.017500000000000016,0.017499999999999988,0.05249999999999999,0.0875,0.1225,0.15750000000000003,0.1925,0.22749999999999998,0.2625,0.29750000000000004,0.3325,0.3675,0.4025,0.43750000000000006,0.4725000000000001,0.5075000000000001
thresh,-0.07,0.07,1,,,,,,,,,,,,,,,,,
unreg,1,2,4,33,1193,1007,39,7,3,2,2,1,1,0,1,0,0,0,0,0
unreg_genes,['SACI_RS11850'],['Saci_1936' 'Saci_1913'],['Saci_0301' 'SACI_RS11540' 'SACI_RS11800' 'SACI_RS11940'],[],[],[],[],['cbiF' 'cbiL' 'nagAc' 'Saci_2065' 'absAb' 'cbiT' 'cbiD'],['adh_2' 'cbiH' 'Saci_1788'],['bluB' 'cbiC'],['proP_2' 'btuD_7'],['Saci_1221'],['btuF_1'],[],['hoxN'],[],[],[],[],[]
