,yhjG
Cr_1,0.0017872842819793664
Cr_2,0.007918693067459242
Cr_3,0.01430028316482852
Cr_4,0.018275686721143568
Cr_5,0.02783151753257242
Cr_6,0.036005594096432066
Fe_1,-0.00990539173237505
Fe_2,-0.027435082508749577
Fe_3,-0.05383560064869132
Fe_4,-0.08348077292164069
Fe_5,-0.114130531188643
Fe_6,-0.1350747119766937
Cd_1,-0.006827241231791203
Cd_2,-0.009146485145452505
Cd_3,-0.010358683852632885
Cd_4,-0.011614084982646556
Cd_5,-0.018163063468195274
Cd_6,-0.018150101668132967
Zn_1,-0.006573038450518391
Zn_2,-0.016509427612408232
Zn_3,-0.014514214018374029
Zn_4,-0.0013022981909527245
Zn_5,0.015733278031487025
Zn_6,0.03675424702897974
Cu_1,0.00498090547774975
Cu_2,0.009914020923095191
Cu_3,0.01628678052804043
Cu_4,0.022405184683932988
Cu_5,0.029825640994185044
Cu_6,0.042057049119965696
Pb_1,0.0008024907504933706
Pb_2,0.005292676634231134
Pb_3,0.011379119589534987
Pb_4,0.0208464525466553
Pb_5,0.025440455981917576
Pb_6,0.030113881409970688
