,mdoB
Cr_1,-0.0032981015692632428
Cr_2,-0.005934758379331324
Cr_3,-0.006270015648418658
Cr_4,-0.012617175991616705
Cr_5,-0.01962147221264279
Cr_6,-0.030802704972765892
Fe_1,-0.01887363436398544
Fe_2,-0.02598214485384227
Fe_3,-0.008621581963937672
Fe_4,0.0077854400979766375
Fe_5,0.02779531376479949
Fe_6,0.043466855495506065
Cd_1,-0.003974838771877379
Cd_2,-0.0071180554047175605
Cd_3,-0.011690518747868944
Cd_4,-0.018940969693224882
Cd_5,-0.02580919885544675
Cd_6,-0.025181117524215
Zn_1,-0.005158160901829847
Zn_2,-0.00047403723280291016
Zn_3,0.0025469740097934486
Zn_4,0.002777135262546993
Zn_5,0.005521848440914075
Zn_6,0.002355916718791365
Cu_1,0.004755005308992866
Cu_2,0.00734567999304897
Cu_3,0.012354367514132679
Cu_4,0.01629551419301221
Cu_5,0.02058312421888271
Cu_6,0.01739658570267353
Pb_1,0.014333609268331188
Pb_2,0.02300198953955871
Pb_3,0.031612305161059326
Pb_4,0.039826393041347836
Pb_5,0.04668325150277808
Pb_6,0.053753602460268265
