gene_id,USA300HOU_RS09590
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,transposase
cog,"Replication, recombination and repair"
regulator(s),Genomic Island 8
link,"<a href=""nan"">AureoWiki</a>"
