,USA300HOU_RS04125
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,6.9657354282
USA300_LAC_U01-Set001_CAMHB_Control_1,6.5614243131
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,6.5742175026
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,6.526653102
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,7.0398651707
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,6.8124774652
USA300_LAC_U01-Set001_CAMHB_Control_2,6.5455545669
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,6.7346977433
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,6.7106290826
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,6.7990204522
USA300_TCH1516_U01-Set000_CAMHB_Control_1,6.9754958008
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,6.7494073537
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,6.6940915981
USA300_LAC_U01-Set001_R10LB_PreCulture_1,7.0774722812
USA300_LAC_U01-Set001_R10LB_PreCulture_2,7.1294890079
USA300_LAC_U01-Set001_R10LB_Control_1,7.4106201378
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,7.3465060854
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,7.5414975984
USA300_LAC_U01-Set001_R10LB_Control_2,7.1485730829
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,7.3436007085
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,7.3078913228
USA300_TCH1516_U01-Set000_R10LB_Control_1,7.2525337167
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,7.049699753
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,7.3277699616
USA300_TCH1516_U01-Set000_R10LB_Control_2,7.2791856583
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,7.0671912017
