locus,gene_weight,gene_name,gene_product,cog,regulator,link
b4610,0.5726908538158246,ygdT,hypothetical protein,No COG annotation,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10601
b1571,0.0991164515685758,ydfA,Qin prophage%3B DUF1391 domain-containing protein YdfA,Function unknown,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG11300
b4559,0.0918108123999023,ghoT,toxin of the GhoTS toxin-antitoxin system,Function unknown,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10472
