,Value,list
TF,ntrC+rpoN,
reg_genes,48,"['hisM' 'rseA' 'glnP' 'potG' 'hisJ' 'nac' 'rseC' 'rpoE' 'potH' 'relA'
 'glnQ' 'glnH' 'potI' 'pspG' 'hisQ' 'rseB']"
comp_genes,56,"['yqeB' 'yeaR' 'zraP' 'prpB' 'asnB' 'yedL' 'hypA' 'ygeW' 'gltI' 'chaC'
 'yeaE' 'gabP' 'asnA' 'ynfM' 'csiD' 'mgrB' 'rcnA' 'cbl' 'lhgO' 'fdhF'
 'mgtA' 'asr' 'yhdW_2' 'yqeC']"
both_genes,32,"['astA' 'yhdX' 'ddpF' 'rutC' 'patA' 'yeaG' 'yhdZ' 'rutA' 'rutE' 'ddpB'
 'astD' 'rutB' 'glnG' 'ddpA' 'amtB' 'yhdY' 'astC' 'rutF' 'ddpC' 'yeaH'
 'glnK' 'glnL' 'rutD' 'ddpX' 'hisP' 'rutG' 'ddpD' 'astB' 'potF' 'glnA'
 'argT' 'astE']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,15,
comp_ops,31,
both_ops,10,
