,yddM
Cr_1,0.012033919348591184
Cr_2,0.021537271061736536
Cr_3,0.02968778190770076
Cr_4,0.038653128140141296
Cr_5,0.04571268574069399
Cr_6,0.04855699496957384
Fe_1,-0.0031931543552034336
Fe_2,-0.011997979116131171
Fe_3,-0.017220100112788742
Fe_4,-0.016139317110932288
Fe_5,-0.009730086165218569
Fe_6,-0.001296138068447113
Cd_1,0.004640677348977861
Cd_2,0.011787000816294748
Cd_3,0.01751492229539026
Cd_4,0.02712377500936991
Cd_5,0.033437233104724365
Cd_6,0.04415361614594668
Zn_1,-0.0019669149490340087
Zn_2,0.01081953179010273
Zn_3,0.03393106859786446
Zn_4,0.06176075806264664
Zn_5,0.08394449759351383
Zn_6,0.09614644042557834
Cu_1,0.009012980447746788
Cu_2,0.01909257123073505
Cu_3,0.030268998097844564
Cu_4,0.04199120631928811
Cu_5,0.04887158626362858
Cu_6,0.06289536698468652
Pb_1,0.005464333613054642
Pb_2,0.007095116026237762
Pb_3,0.012969733937666364
Pb_4,0.022835650424505832
Pb_5,0.03620001103116813
Pb_6,0.052429467824446484
