,clpX
Cr_1,0.0010576628212637348
Cr_2,0.0032831404821745663
Cr_3,0.009926517373550754
Cr_4,0.01797162132316529
Cr_5,0.025965345381686367
Cr_6,0.032766917361411574
Fe_1,-0.0037594326699883674
Fe_2,-0.024183878592358102
Fe_3,-0.04976576439577687
Fe_4,-0.07519137856259969
Fe_5,-0.10774573652546064
Fe_6,-0.12586559074880332
Cd_1,0.001072036498928807
Cd_2,0.002178877966131512
Cd_3,0.0032851515520014194
Cd_4,0.005801153019445221
Cd_5,0.003829134437088431
Cd_6,0.007805477053043231
Zn_1,-0.0016865862212398846
Zn_2,-0.008386293309126491
Zn_3,-0.011632745705370148
Zn_4,-0.008120088932237545
Zn_5,-0.005321063123328395
Zn_6,-0.0020229985797662574
Cu_1,0.0005674970499963991
Cu_2,0.0008530217949846308
Cu_3,0.0013647576209742805
Cu_4,0.003497617644454468
Cu_5,0.006971400743998497
Cu_6,0.013249214144954198
Pb_1,-0.003924463876527989
Pb_2,-0.0039899327978163476
Pb_3,-0.006064945326708162
Pb_4,-0.003159615297233713
Pb_5,-0.0027912243630365203
Pb_6,-0.0054282868772950145
