,yddA
Cr_1,-0.005815756163604117
Cr_2,-0.004947256518896501
Cr_3,0.0005145003719886679
Cr_4,0.007616211655772662
Cr_5,0.01725483094244929
Cr_6,0.02363236577947427
Fe_1,-0.0034828744746778057
Fe_2,-0.024648155534821137
Fe_3,-0.06664802958855526
Fe_4,-0.12896035282177826
Fe_5,-0.19040958298728536
Fe_6,-0.246848566038198
Cd_1,0.013487116846559387
Cd_2,0.02816832922955641
Cd_3,0.04527750798973463
Cd_4,0.060747847726089974
Cd_5,0.06982131665507647
Cd_6,0.08712524887972352
Zn_1,-0.011721654754568902
Zn_2,-0.010964667676662914
Zn_3,0.018282036113655142
Zn_4,0.06789843352944587
Zn_5,0.12715433538566775
Zn_6,0.17778060012936353
Cu_1,0.004963046048543989
Cu_2,0.010543752879627454
Cu_3,0.019457904540094075
Cu_4,0.029889206414215
Cu_5,0.04569099121864137
Cu_6,0.06904953167655897
Pb_1,0.014149615052927672
Pb_2,0.026964272141958172
Pb_3,0.029750554683456557
Pb_4,0.027466957390157958
Pb_5,0.06686781497887045
Pb_6,0.10532441629933473
