,kch
Cr_1,-0.0033927657348930673
Cr_2,-0.007823376602523722
Cr_3,0.001147833324200595
Cr_4,0.01013739640198832
Cr_5,0.012081153649510729
Cr_6,0.01568554480803071
Fe_1,0.000671623664843779
Fe_2,-0.013030860776882631
Fe_3,-0.035743109590555135
Fe_4,-0.06943708551256088
Fe_5,-0.09728503229424557
Fe_6,-0.12514648927514016
Cd_1,0.005008496966317308
Cd_2,0.0034549449293567154
Cd_3,0.010166747644777822
Cd_4,0.016691586166244197
Cd_5,0.012578408802185944
Cd_6,0.016987222786583357
Zn_1,-0.017442436664355715
Zn_2,-0.028595540827094142
Zn_3,-0.03412110763888156
Zn_4,-0.02905415843832815
Zn_5,-0.032670697097937365
Zn_6,-0.03077909369416957
Cu_1,0.004621076079934154
Cu_2,0.010429389929704788
Cu_3,0.01368530340955072
Cu_4,0.015833380364935788
Cu_5,0.020259730005271384
Cu_6,0.027551104074613086
Pb_1,-0.002930150356229843
Pb_2,-0.00919151603620917
Pb_3,-0.012149704417865824
Pb_4,-0.0143396801223108
Pb_5,-0.01404297651368494
Pb_6,-0.009823154188185804
