,recX
Cr_1,-0.009294071071021304
Cr_2,-0.010520216859703077
Cr_3,-0.0029356430070877713
Cr_4,-0.012120412913245721
Cr_5,-0.018472797107302614
Cr_6,-0.023033609922659518
Fe_1,-0.09267647856338863
Fe_2,-0.14890455690164214
Fe_3,-0.17411975461325946
Fe_4,-0.16173453185560685
Fe_5,-0.12379028645998474
Fe_6,-0.08053012638153681
Cd_1,0.006680098902403675
Cd_2,0.01216494761862372
Cd_3,0.017579469099796
Cd_4,0.021824516947737085
Cd_5,0.02314163633631796
Cd_6,0.02649104670952864
Zn_1,-0.059097484155259436
Zn_2,-0.0735243741837874
Zn_3,0.012926521834685184
Zn_4,0.07357080157506071
Zn_5,0.11173865354304867
Zn_6,0.9632751328872008
Cu_1,-0.003826050111097091
Cu_2,-0.006844767721298072
Cu_3,-0.005407781246127615
Cu_4,-0.00690835070400978
Cu_5,-0.004454748828472387
Cu_6,-0.0034129365560912677
Pb_1,-0.008984332480743838
Pb_2,-0.019092160644689302
Pb_3,-0.023890209378976568
Pb_4,-0.0061538975459991645
Pb_5,0.0031428710618400845
Pb_6,-0.009149305400277743
