,A,DksA
R2,,0.08451760342777193
xmin,,-2.4607235254
xmid,,-0.6067352085293628
xmax,,3.1213327657
ystart,,1.2845945959796523
yend,,-5.842816042142648
aat__00m_00s__1,-1.0947057757,0.08054442
aat__00m_30s__1,-0.0109110557,0.12214406850000001
aat__01m_00s__1,0.46929010990000003,0.1382325375
aat__02m_00s__1,0.2902179421,0.029363574400000002
aat__05m_00s__1,1.417875826,0.1536590897
aat__10m_00s__1,0.7118800638,-0.08948817220000001
aat__00m_00s__2,1.0906199193,-0.07741183900000001
aat__00m_30s__2,0.8099645986,0.1973309123
aat__01m_00s__2,1.3854423063,0.1813637991
aat__02m_00s__2,1.1969846177,0.1222568287
aat__05m_00s__2,1.0267996846,0.1975339776
aat__10m_00s__2,-1.5078300333999999,0.5127946045
aat__00m_00s__3,0.0040858565,-0.003132581
aat__00m_30s__3,-0.4221408924,0.4870742456
aat__01m_00s__3,1.0539993905,0.2862930902
aat__02m_00s__3,-0.1459950268,0.3406877553
aat__05m_00s__3,-0.7314686908,0.4949504851
aat__10m_00s__3,-1.2702196735,0.4639717364
abx_mega__dmso-2__1,1.9598988482,0.32099072230000003
abx_mega__ery_dmso__1,-4.1068962844,-0.2611013585
abx_mega__nal_naoh__1,1.3814680766,0.4520049385
abx_mega__dmso-5__1,-0.4372165662,-0.10900234290000001
abx_mega__rif_dmso__1,-3.6964152084,0.9415973331
abx_mega__novo_h2o__1,-5.2487374387,-1.0620210601
abx_mega__rach_dmso__1,0.4427681496,-0.7266650701
abx_mega__metro_dmso__1,-1.1178243117,0.1516893865
abx_mega__dmso-6__1,1.2006429387,-0.3209965442
abx_mega__chl_h2o__1,-4.955188763,-1.282108507
abx_mega__cst_h2o__1,1.7036811316,-0.5987943937
abx_mega__tec_h2o__1,3.9556087979,0.8045375289000001
abx_mega__str_h2o__1,2.0588887528,0.4154885464
abx_mega__ctx_h2o__1,0.7179852326,-0.3904574854
abx_mega__nal_naoh__2,-0.8399764539,-0.2659185626
abx_mega__phos_h2o__1,2.0760857599,-1.3633367388
abx_mega__dmso-5__2,-0.1418635457,-0.0731294266
abx_mega__polmyx_h2o__1,0.8968431274,0.3186418733
abx_mega__h2o-8b__1,2.6161479305,-1.1214803548
abx_mega__h2o-6__1,1.1152256785,-0.4785395866
abx_mega__thio_dmso__1,-3.7948946245,-2.3800087462
abx_mega__phos_h2o__2,1.8305174224,-0.5222562487
abx_mega__ctx_h2o__2,2.8391204358,-1.4069016635
abx_mega__lzd_dmso__1,-2.0657174009,-1.3108981746000001
abx_mega__naoh-9__1,3.3239672654,-0.8125281283
abx_mega__dox_dmso__1,-2.1416009489,-0.1548596273
abx_mega__phos_ethanol__1,0.5363290635,-0.7720687267
abx_mega__teix_dmso__1,2.0757315959,-0.7507184343000001
abx_mega__dmso-10__1,2.0728149611,-0.7252470645
abx_mega__van_dmso__1,-7.0605639634,-0.242829762
abx_mega__ramo_h2o__1,3.1533861358,-0.4150174795
