,srlR
Cr_1,0.0014321344040254258
Cr_2,0.0012497327412384796
Cr_3,0.004649952004783077
Cr_4,0.016442751899101812
Cr_5,0.029718429192018
Cr_6,0.03427809834727495
Fe_1,-0.004252809332421149
Fe_2,-0.008684754623410298
Fe_3,-0.00982788114748374
Fe_4,-0.019982378687002457
Fe_5,-0.03269076202068116
Fe_6,-0.04387893094203349
Cd_1,-0.0003817616077684111
Cd_2,-0.0038866814773578064
Cd_3,-0.009164909276107977
Cd_4,-0.016599283780723985
Cd_5,-0.03267458129879495
Cd_6,-0.038505169453749835
Zn_1,-0.0066324221491619465
Zn_2,-0.016095044698719547
Zn_3,-0.018440364530387297
Zn_4,-0.0161958703570962
Zn_5,-0.010345366524281308
Zn_6,-0.009838015893638016
Cu_1,0.005233967758364039
Cu_2,0.011961256186233912
Cu_3,0.022584076925176198
Cu_4,0.02970696222691185
Cu_5,0.03920850625435675
Cu_6,0.04865311536691853
Pb_1,0.007040084854918726
Pb_2,0.008094959129039124
Pb_3,0.0164188228306125
Pb_4,0.02570301908977376
Pb_5,0.03271156102499853
Pb_6,0.04298739573182103
