,citC
Cr_1,0.0130547174302706
Cr_2,0.016392819740145476
Cr_3,0.013072395090748569
Cr_4,0.027059623441817768
Cr_5,0.03758976382679484
Cr_6,0.04099607314565271
Fe_1,-0.0067189261627654045
Fe_2,-0.01950996796442776
Fe_3,-0.027197309132809586
Fe_4,-0.03254783681000893
Fe_5,-0.03743587955296908
Fe_6,-0.034328067391602365
Cd_1,-0.0061045422498329106
Cd_2,-0.013859681378483623
Cd_3,-0.01153465183655535
Cd_4,-0.014744571524837385
Cd_5,-0.01998060990656816
Cd_6,-0.0196859684627111
Zn_1,-0.008013902977623978
Zn_2,-0.011458514182867138
Zn_3,-0.007672123872869787
Zn_4,-0.0034081814008099084
Zn_5,0.003771328695965475
Zn_6,0.010883734831801745
Cu_1,-0.002126896653489721
Cu_2,-0.001649356760501765
Cu_3,0.0014933124600818087
Cu_4,0.0005808996123336071
Cu_5,0.010550659564973084
Cu_6,0.016588233912446713
Pb_1,-0.0016695200609679285
Pb_2,-0.003946635524698682
Pb_3,0.0040587170898483075
Pb_4,0.0036330737327245548
Pb_5,0.0007992675229809575
Pb_6,0.006018547111754571
