,rcsC
Cr_1,0.008509382079609645
Cr_2,0.013619560860058088
Cr_3,0.02147536936743083
Cr_4,0.02900880608832105
Cr_5,0.03684596249042569
Cr_6,0.04078498532331884
Fe_1,-0.009202820349029492
Fe_2,-0.01390595115534248
Fe_3,-0.0032058829364614372
Fe_4,0.005217835164507491
Fe_5,0.014857796794735159
Fe_6,0.021479668314260736
Cd_1,-0.0016212334842009802
Cd_2,0.0010262140366974967
Cd_3,0.00673003192275386
Cd_4,0.010678177488293814
Cd_5,0.00984046011463654
Cd_6,0.0151078334230101
Zn_1,-0.004817864206448376
Zn_2,-0.004239905470374518
Zn_3,0.0016015332318447624
Zn_4,0.007995150130609552
Zn_5,0.010325407078515252
Zn_6,0.012200377454850352
Cu_1,0.007165452368567996
Cu_2,0.017787378327280147
Cu_3,0.031181963019030413
Cu_4,0.04116665666137456
Cu_5,0.049684546058002065
Cu_6,0.05896919288849236
Pb_1,-0.002396769997334573
Pb_2,0.0008483240018969853
Pb_3,0.007146117081287384
Pb_4,0.015391007822037728
Pb_5,0.023943013544076776
Pb_6,0.03218766372752492
