,b4582_2
control__wt_glc__1,2.8646639911
control__wt_glc__2,1.7686778798
fur__wt_dpd__1,2.2701666398
fur__wt_dpd__2,2.8831809171
fur__wt_fe__1,2.6492134624
fur__wt_fe__2,3.1578476104
fur__delfur_dpd__1,3.5330049708
fur__delfur_dpd__2,3.1135089618
fur__delfur_fe2__1,3.359698584
fur__delfur_fe2__2,3.6168472422
acid__wt_ph5__1,2.3043466749
acid__wt_ph5__2,2.0282782115
acid__delgadx_ph5__1,2.85110218
acid__delgadx_ph5__2,2.2990656074
acid__delgadw_ph5__1,1.7292621428000001
acid__delgadw_ph5__2,2.3239323428
acid__delgade_ph5__1,2.2695927981
acid__delgade_ph5__2,1.8221160989
oxidative__wt_pq__1,2.6727798347
oxidative__wt_pq__2,1.0484204093
oxidative__deloxyr_pq__1,1.0779637624
oxidative__deloxyr_pq__2,2.257292242
oxidative__delsoxr_pq__1,1.2987695254
oxidative__delsoxr_pq__2,3.6216263378
oxidative__delsoxs_pq__1,2.7111967639
oxidative__delsoxs_pq__2,2.8683354834
nac_ntrc__wt_csn__1,1.2459218152
nac_ntrc__wt_csn__2,1.9479229633
nac_ntrc__wt_cytd__1,2.4020111554
nac_ntrc__wt_cytd__2,2.0821865735
nac_ntrc__wt_gln__1,1.6148564224
nac_ntrc__wt_gln__2,2.69847137
nac_ntrc__bw_delnac_csn__1,2.1124943274
nac_ntrc__bw_delnac_csn__2,2.2727379625
nac_ntrc__bw_delnac_cytd__1,1.9116524371999999
nac_ntrc__bw_delnac_cytd__2,0.0
nac_ntrc__bw_delnac_gln__1,0.0
nac_ntrc__bw_delnac_gln__2,1.810678556
nac_ntrc__bw_delnac_nh4__1,0.0
nac_ntrc__bw_delnac_nh4__2,0.0
misc__wt_no_te__1,1.6791320664
misc__wt_no_te__2,2.1378692343
misc__bw_delcbl__1,1.6708497444
misc__bw_delcbl__2,0.0
misc__bw_delfabr__1,0.0
misc__bw_delfabr__2,0.0
misc__bw_delfadr__1,1.4169711521
misc__bw_delfadr__2,0.0
misc__nitr_031__1,1.7393838205
omics__wt_glu__1,1.6858594230000001
omics__wt_glu__2,1.5706037109
omics__wt_gly__1,2.467952813
omics__wt_gly__2,0.0
omics__wt_thr__1,3.0929224576
omics__wt_thr__2,2.0139761445
omics__bw_ac__1,3.8164436417000003
omics__bw_ac__2,3.7719586262
