,ylbF
Cr_1,0.0019687977868906555
Cr_2,0.00849552853222733
Cr_3,0.015775835451765318
Cr_4,0.023744839915404718
Cr_5,0.027111435934966968
Cr_6,0.04434875890433939
Fe_1,-0.021083053853897304
Fe_2,-0.04960330946043357
Fe_3,-0.05783409416818981
Fe_4,-0.06058145087585701
Fe_5,-0.043497361299474416
Fe_6,-0.03805267550612422
Cd_1,0.0042898932428259455
Cd_2,0.004567061893484634
Cd_3,0.008704784887754441
Cd_4,0.011777317321564751
Cd_5,0.01769365737443379
Cd_6,0.020733634793647114
Zn_1,0.247744499557092
Zn_2,0.1614365649550934
Zn_3,0.3831563412358661
Zn_4,0.4823241155197125
Zn_5,0.6143457774365412
Zn_6,0.7148921295959556
Cu_1,0.00043736773497646345
Cu_2,0.0058613723365407
Cu_3,0.017176881918397346
Cu_4,0.027491362476168884
Cu_5,0.028348243771695644
Cu_6,0.042720026331784594
Pb_1,0.0048667949424957176
Pb_2,0.0033079004270238736
Pb_3,-0.002129379878514129
Pb_4,0.003376301868147941
Pb_5,0.018886396068936433
Pb_6,0.03348406422721626
