,A,Nac
R2,,0.3778135812604033
xmin,,-4.725505623
xmid,,3.2043093547931574
xmax,,7.640281807
ystart,,-0.3481629015073384
yend,,20.70212317062507
control__wt_glc__1,0.2323617356,-0.122012726
control__wt_glc__2,-0.2323617356,0.122012726
fur__wt_dpd__1,-0.126177082,-1.69991428
fur__wt_dpd__2,-0.3297795342,-1.9387699550000002
fur__wt_fe__1,-0.1298307745,0.523530873
fur__wt_fe__2,-0.3941684889,0.257487532
fur__delfur_dpd__1,0.40143353390000003,-1.602536528
fur__delfur_dpd__2,0.4176507739,-1.724549783
fur__delfur_fe2__1,0.2091149366,-0.7173395530000001
fur__delfur_fe2__2,0.1434972982,-0.808297919
acid__wt_ph5__1,-1.5743694175,-0.741450971
acid__wt_ph5__2,-1.3573643556000001,-0.525057889
acid__delgadx_ph5__2,-0.9382838234,-0.54736522
acid__delgadw_ph5__1,-0.8462997097,-0.607067223
acid__delgadw_ph5__2,-0.7020663849000001,-0.511348461
acid__delgade_ph5__1,-1.2305871617,-0.392057808
acid__delgade_ph5__2,-1.3977761471,-0.574728315
oxidative__wt_pq__1,-0.054496169100000005,-1.44188698
oxidative__wt_pq__2,0.0112631402,-1.467999853
oxidative__deloxyr_pq__1,-0.9144451490000001,-1.5416115910000001
oxidative__deloxyr_pq__2,-0.5263301476,-1.328150785
oxidative__delsoxr_pq__1,0.2365912075,-2.395016924
oxidative__delsoxr_pq__2,0.18778209740000001,-1.948205151
oxidative__delsoxs_pq__1,0.35843960820000004,-1.627599484
oxidative__delsoxs_pq__2,0.592028898,-1.268693053
nac_ntrc__wt_csn__1,18.6964788172,7.520987127
nac_ntrc__wt_csn__2,18.8602040818,7.504085217
nac_ntrc__wt_cytd__1,18.1589372507,7.005102877
nac_ntrc__wt_cytd__2,18.4799811404,7.055380747
nac_ntrc__wt_gln__1,22.7067317115,7.640281807
nac_ntrc__wt_gln__2,22.3848949251,7.552225147
nac_ntrc__bw_delnac_csn__1,-5.1772780995,-4.725505623
