,A,CpxR
R2,,0.06906388454889978
xmin,,-8.11516967
xmid,,-5.304158563699065
xmax,,2.3778217705999998
ystart,,-6.325555592433603
yend,,3.987649648905569
SRX1125282,-0.416178557,0.0371924006
SRX1125283,1.1560904663,-0.1167177905
SRX1125284,-0.0030614902,-0.029000962
SRX1125285,0.1120440916,0.0848096896
SRX1125286,2.4769279006,-0.0884970087
SRX1125287,3.6215433201,-0.2513995396
SRX1125288,-0.0477754276,0.0815287471
SRX1125289,1.2107511762,0.07859198910000001
SRX1125290,0.4087051068,0.0571983363
SRX1125291,0.5823152077,0.0092045323
SRX1125292,2.681802117,-0.0070013234
SRX1125293,3.5407284991,-0.12278870160000001
SRX1125294,0.46395398470000004,-0.11872114760000001
SRX1125295,0.8374737634,-0.2152456738
SRX1125296,0.0097236418,-0.1562458411
SRX1125297,0.329851114,-0.26473731030000003
SRX1125298,2.4247952603,-0.0212701091
SRX1125299,3.9110344647,-0.067659326
SRX5694250,-0.1705206059,0.3803231496
SRX5694251,0.560511541,0.1729381065
SRX5694252,0.41600928340000004,0.2486438929
SRX5694253,2.2917038713,0.6349426454
SRX5694254,-1.7111885448000002,0.0818792874
SRX5694255,-1.4562206897,-0.9578921612
SRX5694256,-1.8877615942000001,0.2709099318
SRX5694257,0.1828651588,0.4084372189
SRX5694258,2.2476289216,0.5030222702
SRX5694259,-5.9830320817,-1.5241682389
SRX5694260,0.9265410356,0.2734839572
SRX5694261,8.2528643552,0.5972433948
SRX5694262,1.1682938256,0.2530840492
SRX5694263,-1.7110097416,0.22629311430000001
SRX5694264,1.1323015043,0.7164461946
SRX5694265,1.4350614262999999,0.0350990969
SRX5694267,1.6001503356,0.5174468618
SRX5694268,-0.8707650089000001,0.2399229565
SRX5694269,0.7749177339000001,0.4463179412
SRX5694271,-0.6698742652,-0.014249184100000001
SRX5694273,-4.9347296427,-0.6917129164
SRX5694274,-0.4666711289,-0.0688117843
SRX5694275,-1.3013630491,0.1167443107
SRX5694276,-2.6854486599,-0.42171916940000004
SRX5694277,1.6148537337,0.5817872295000001
SRX5694278,-2.2688484874,-0.37442498960000004
SRX5694279,-0.2560660106,-0.2529812531
SRX5694280,3.2177894411,0.26287335230000003
SRX5694281,-0.6045856629,0.1288200247
SRX5694282,7.753859683,0.36938965770000004
SRX5694283,4.6733191111,0.5161979748000001
SRX5694284,9.3616987087,0.5498769937
SRX5694285,1.0421942468,0.37430656700000003
SRX5694286,-1.079942265,0.1344609497
SRX5694287,-0.5115651823,0.8879458575
SRX5694288,-1.0660419502,0.2342612036
SRX5694289,1.3511624095,0.3336056999
SRX5694290,0.9008260922,0.6850361314
SRX5694291,-1.9240066189,-0.8274027535
SRX5694292,-0.7626227702,0.2022706651
SRX5694293,-0.8365094853,0.1250893475
SRX5694294,0.0161827914,0.6371522945
SRX5694295,-0.7284756506000001,-0.1137708053
SRX5694296,2.573874032,0.4611996713
SRX5694297,-2.9930046085,-0.0667186057
SRX5694298,3.3186161872,0.1419090221
SRX5694299,0.0066617482,0.21193790140000002
SRX5694300,0.1684976171,0.1041967579
SRX5694301,-0.9256575024,0.21446118400000003
SRX5694302,0.5348319785,0.7972941226
SRX5694303,0.6471117509000001,0.6427368064
SRX5694304,0.3437856622,0.0037802532
SRX5694305,-2.3826643186,0.22796918230000002
SRX5694306,-0.2238171051,0.4951095104
SRX5694307,9.7222972087,0.4302528044
SRX5694308,1.9522253981,0.1461998007
