,pnp
Cr_1,-0.011090521882277856
Cr_2,-0.013811902997823396
Cr_3,-0.012215952559835949
Cr_4,-0.009985442260739
Cr_5,-0.006084062189950935
Cr_6,-0.004028377148483496
Fe_1,-0.02469378845163311
Fe_2,-0.0596777299167397
Fe_3,-0.0925988375373734
Fe_4,-0.13799402212643516
Fe_5,-0.17076333454658085
Fe_6,-0.19744020759170874
Cd_1,-0.003958786542397129
Cd_2,-0.001864696466061913
Cd_3,-0.004240036784519602
Cd_4,-0.006764349319271026
Cd_5,-0.006583845759746908
Cd_6,-0.0032207014061593343
Zn_1,-0.08515749925524227
Zn_2,-0.1078123092971684
Zn_3,-0.1182446317074968
Zn_4,-0.14598992090132784
Zn_5,-0.0013667637436105221
Zn_6,0.0011888524471417134
Cu_1,0.0006224728312430905
Cu_2,0.007696760143023745
Cu_3,0.014623237741244455
Cu_4,0.016105103973622012
Cu_5,0.016174351401114076
Cu_6,0.022140579156524832
Pb_1,-0.003975176243133395
Pb_2,-0.007090514781697292
Pb_3,-0.007124017009569245
Pb_4,-0.001409227171123101
Pb_5,0.0031641012269395413
Pb_6,0.020354468596338417
