,dkgA
Cr_1,0.0037200091278736147
Cr_2,0.007809932191003055
Cr_3,0.016900442451945084
Cr_4,0.023666918159724902
Cr_5,0.025092621782309168
Cr_6,0.020147919177370792
Fe_1,-0.013578672817933074
Fe_2,-0.04051246282609621
Fe_3,-0.07496054199043692
Fe_4,-0.12250178549367903
Fe_5,-0.1648975720927031
Fe_6,-0.19930294723195136
Cd_1,0.005857082490249196
Cd_2,0.009315712670593218
Cd_3,0.00972816308638295
Cd_4,0.011749233051130846
Cd_5,0.00602221953482763
Cd_6,0.007348511183315969
Zn_1,-0.012896703706004776
Zn_2,-0.02420939984661269
Zn_3,-0.022126792701894167
Zn_4,-0.009806855274988724
Zn_5,0.004159797074103922
Zn_6,0.007161139925322094
Cu_1,0.008374536605398874
Cu_2,0.011092959155124505
Cu_3,0.013064977941124632
Cu_4,0.008090599701596382
Cu_5,0.005737043067899194
Cu_6,0.005985614645456271
Pb_1,0.010308605205236838
Pb_2,0.02003650018014124
Pb_3,0.027471719689547543
Pb_4,0.03491180289993314
Pb_5,0.03680392647580444
Pb_6,0.04078844257773212
