,ompG
Cr_1,0.0018454701284313503
Cr_2,0.005479261990675215
Cr_3,0.007306022609081058
Cr_4,0.007878718466905408
Cr_5,0.009848784610587594
Cr_6,0.006749147287405894
Fe_1,-0.005764472087775146
Fe_2,0.001951081688154091
Fe_3,0.007370011182252178
Fe_4,0.004994096790020834
Fe_5,0.003788627541047488
Fe_6,-7.811839861569564e-05
Cd_1,0.00442833822391202
Cd_2,0.01166893616989667
Cd_3,0.019728107132503683
Cd_4,0.02425623463354548
Cd_5,0.02754242044678389
Cd_6,0.03406967558236233
Zn_1,-0.013523343188345985
Zn_2,-0.0019523293783833113
Zn_3,0.019249616639776927
Zn_4,0.02663066649720728
Zn_5,0.034958281943877366
Zn_6,0.042755997203314106
Cu_1,0.011995498048370785
Cu_2,0.02338939333564454
Cu_3,0.040164534260675414
Cu_4,0.06710977482503733
Cu_5,0.08033884383118739
Cu_6,0.08537724552166921
Pb_1,0.007386562005030199
Pb_2,0.012527516652108744
Pb_3,0.024913900918339917
Pb_4,0.033748108571195645
Pb_5,0.04806680866568732
Pb_6,0.0652772815912191
