,-0.08043224154786294,-0.048259344928717765,-0.016086448309572593,0.01608644830957258,0.04825934492871775,0.08043224154786294,0.1126051381670081,0.14477803478615325,0.17695093140529844,0.20912382802444363,0.2412967246435888,0.27346962126273394,0.3056425178818791,0.3378154145010243,0.36998831112016944,0.40216120773931463,0.4343341043584598,0.46650700097760495,0.4986798975967502,0.5308527942158954
thresh,-0.09651868985743552,0.09651868985743552,16,,,,,,,,,,,,,,,,,
unreg,0,28,1677,1548,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,1,44,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,2,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,10,155,162,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis,0,0,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and RpoS,0,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Fis,0,0,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and Crp,0,1,24,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and Fis,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and Fis,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHF, RpoS, and Fis",0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHF, RpoS, and Crp",0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, Crp, and Fis",0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHF, RpoS, Crp, and Fis",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"IHF, Crp, and Fis",0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
