,A,Fis,Crp,RpoS,ihfB
abx_mega__cst_h2o__1,0.632849051,-0.3006031253,0.0899715865,0.2482267076,-1.1929652783
abx_mega__tec_h2o__1,-2.500901117,0.5347225265000001,-1.6070723407,0.022944085000000003,0.8805616572
abx_mega__str_h2o__1,-3.2988398697,-0.315531422,-0.5390842036,-1.1664088354,1.9132335694
abx_mega__ctx_h2o__1,1.0867384596,-0.27706315800000003,-0.0980165268,0.2455560166,-1.1279696429000001
abx_mega__nal_naoh__2,0.26591572010000003,-1.0515561892,0.2016373309,-0.7270261651000001,-0.9605612867000001
abx_mega__phos_h2o__1,-1.8133214493,0.45988812300000004,-0.2490351859,0.1246632279,-0.7856317823000001
abx_mega__dmso-5__2,0.8025534791000001,-0.1227531806,0.0411821817,0.17891339180000002,0.10447339950000001
abx_mega__polmyx_h2o__1,0.4631913756,-0.7439088252,0.0231238538,0.8690290136000001,-1.1566112913
abx_mega__h2o-8b__1,0.27571605800000004,-0.3382359766,0.0476350313,0.1019266675,-0.5151260577
abx_mega__h2o-6__1,-0.043570568500000004,-0.46712865400000003,0.24713669740000002,-0.159521414,-0.3442757495
abx_mega__thio_dmso__1,-1.5165768386,1.2231535145,-1.5465123927,-0.7117395496000001,-2.3813583609
abx_mega__phos_h2o__2,-1.684432879,-0.8780742082,0.2066153554,0.2200444192,-1.0600417401
abx_mega__ctx_h2o__2,-2.6607253179,-0.3190684022,-0.5157335737000001,-0.24488367700000002,-2.7828060503
abx_mega__lzd_dmso__1,-1.3543612063000001,0.9380870463000001,-1.8223907651,-0.6076757834000001,-0.938501404
abx_mega__naoh-9__1,0.0633003719,-0.5544290879,0.36042412560000003,0.4192586639,-1.1086632386
abx_mega__dox_dmso__1,-0.137514528,0.499138858,-1.3002511837,0.3345453216,-1.5186830960000002
abx_mega__phos_ethanol__1,-2.1652647509,0.1323222643,0.3379205155,0.9291638342,-1.0835463994
abx_mega__teix_dmso__1,-0.5744700755000001,0.2073111051,-0.6834405493,0.6945469896,-0.2108301915
abx_mega__dmso-10__1,-1.6032353450999999,-0.25733282500000004,0.1656640608,0.7728686116,-1.1932094615
abx_mega__van_dmso__1,5.9381573716,-0.43288717800000004,-0.9934080376000001,1.381880559,0.5828825608
abx_mega__ramo_h2o__1,4.0714964698,-0.1847626776,-0.3443110079,0.8471900986,-0.9701385051
abx_mega__tec_h2o__2,0.6759165386,0.9230981104,-0.9407234058,0.9445992575000001,-0.8524414069
abx_mega__h2o-7__1,-1.5453272784,0.418788309,-0.0040549861000000005,-0.101510944,-1.405760481
abx_mega__cro_h2o__1,-1.7560547453000002,0.2659133738,-0.1478341465,-0.39254390580000004,-2.0779262437
abx_mega__tric_ethanol__1,0.7332146174,-1.8737666673,-0.1558928562,1.6641543512,-0.1903310601
abx_mega__nor_naoh__1,-1.0596359651,-0.7529405576,0.2764607147,-0.6444778476,-1.0812140072
abx_mega__teix_dmso__2,1.9883306127,0.40104904210000003,-0.14661147630000002,-0.28779240840000003,-0.026524093000000002
abx_mega__nal_naoh__3,0.2971659054,-0.5866514008,0.2201400917,-0.6870264622000001,-1.0022560843
abx_mega__novo_h2o__2,0.33808362810000003,0.1670368142,0.1874058842,-1.3007259393,-1.7171008209
abx_mega__dmso-10__2,-1.2303691962,-0.18329488400000002,0.0513472187,0.8062681238,-0.8705550239000001
abx_mega__phos_h2o__3,0.23743367810000002,-0.44714341750000003,0.3866879371,-0.4039469799,-0.6341559143000001
abx_mega__dmso-6__2,0.26408552820000003,-1.1044765928,-0.0602559214,-0.38068987460000003,0.5477587571
abx_mega__rfp_ethanol__1,-1.9407513272,2.01999203,-1.4743546362,1.1971556762,-1.3179166312000001
abx_mega__dmso-5__3,0.6426950524,-0.11737753790000001,-0.13444608700000002,-0.0579672664,-0.09633023900000001
abx_mega__amyc-d_dmso__1,-1.4680589351,1.1007515523,-1.621907484,-1.1718080658,0.6487792296
abx_mega__sxt_dmso__1,-1.4816415311,-0.1059151671,-0.0376343135,-0.0579887361,-1.398343179
abx_mega__dmso-1__1,-1.7588059763000001,-0.1809852853,-0.0810478849,-0.0090804595,-0.0548211138
abx_mega__pen_h2o__1,3.1485044776,-0.4078044901,0.1296583874,-0.2858089984,-0.4764255264
abx_mega__dmso-10__3,-1.3188341509,-0.4056936109,0.2017965224,0.7487499111,-0.9915859493
abx_mega__nal_naoh__4,1.2077982998,-0.2755809595,0.1490464558,-0.2880430808,-1.1529412139
abx_mega__cip_naoh__1,0.5733439059000001,-0.0218445443,0.2623448043,-0.4022624342,-1.0626874924
abx_mega__pen_h2o__2,2.5390244848,-0.3603364043,-0.22631582460000002,-0.102787711,-0.9260874235000001
abx_mega__ery_dmso__2,-0.1322655328,0.5386924691,-1.9945889461,-0.5464442224,-1.3048554744
abx_mega__dmso-2__2,1.6406546529,-1.1777016044,-0.303318389,-0.7664779575,2.186138402
abx_mega__van_dmso__2,5.9539707751,0.4569554622,-0.9213934478,0.9269590489,0.9100277827000001
abx_mega__h2o-1b__1,0.19004430560000002,0.62288687,-0.5542551321,0.0122038535,-0.8877531976
abx_mega__ery_h2o__1,-2.625234942,2.3050038891,-2.4371824129,-0.9940082433,-1.5251338072
abx_mega__bacit_h2o__1,4.4567027734,-0.034645267800000004,-0.6975730314,2.0411292587,-1.4504833334
abx_mega__chl_h2o__2,-1.223416775,1.6454385256,-2.788252041,-0.3039589573,-1.2200697843000001
abx_mega__str_h2o__2,-4.3410798268,-0.862049083,-0.46271994780000003,-1.2338569192,1.7775761065
abx_mega__rfp_ethanol__2,2.6993256581000002,1.5046348551,-1.0117169578,1.5108161085,-1.2855187251
abx_mega__polmyx_h2o__2,0.2580674261,-0.7560279758,-0.1729404675,0.0882130678,-0.8769879084000001
abx_mega__tric_h2o__1,0.294182934,-0.9570480503000001,0.2138522692,1.863543381,-1.2793691829
abx_mega__cip_naoh__2,-0.0102955171,-0.2310521848,0.22403181360000002,-0.7670528724,-1.080054735
abx_mega__novo_h2o__3,0.595461458,0.0384749824,-0.09237995040000001,-1.3988456439,-1.4207421173
abx_mega__bacit_dmso__1,1.7165206524,-0.27164175360000004,-0.38942819040000004,0.1389480637,-0.36320266970000004
abx_mega__gen_h2o__1,0.2447170673,-0.9889467527,-1.1362642293,0.6382039402,3.0734252999
abx_mega__bacit_dmso__2,2.6710092564,-0.7642554466,-0.41342659340000004,0.6371311275,-0.1474923579
abx_mega__chl_dmso__1,0.7745476485,-0.2785421886,-1.6036324816,0.5891552134,-0.8603384773
abx_mega__bacit_h2o__2,3.7144329608,0.37938326920000004,-0.5104274184,1.1364192666,0.0810143052
abx_mega__lvx_dmso__1,-0.6050989299,0.0592087638,-0.1584196907,-0.1227754323,-0.8766338815
abx_mega__bacit_h2o__3,3.3978373593,0.2957838322,-0.6589226995,1.842083342,-1.0401998064
abx_mega__nor_naoh__2,-0.6803677091,-0.9272936324000001,0.1764471632,-0.3056609431,-1.1131732022
abx_mega__amyc-d_dmso__2,1.8561114638,1.1044165911,-0.5799739837,-0.36055310500000004,1.1241333731
abx_mega__polmyx_h2o__3,-3.0348632722,-1.0044740437,-0.6950204566,-0.7452061929,1.0533152899
abx_mega__naoh-6__1,0.5254095279000001,-0.3681309666,0.245553549,-0.19376253370000002,-0.2205498512
abx_mega__cst_h2o__2,2.1081193244,0.49882963830000004,-0.24882076420000002,-0.1069060403,-0.9253991697
abx_mega__h2o-1b__2,-1.4637127457,0.566920077,-1.0972302127,0.1476735541,-0.6949207847000001
abx_mega__rfp_h2o__1,2.4024862363,2.0234284253,-2.0210704043,0.2184687528,0.3662144094
abx_mega__tet_h2o__1,-0.44488909330000004,-0.22959920490000002,-1.6584843203,-0.3321838082,-0.9221896544
abx_mega__flavo_dmso__1,-4.4853258257,-0.0980294456,-0.2397944182,1.1410073011,-0.3053163494
abx_mega__zeocin_h2o__1,-0.2668682369,-0.459732,0.1989831632,0.5042714405000001,-1.4155199507
abx_mega__nor_naoh__3,-0.1877565242,-0.3283958898,0.10670366340000001,-0.7028224034,-1.0599211097
abx_mega__rach_dmso__2,-0.8195817096,0.5310775656,-0.1227589166,-0.3897788184,-1.4386345449
abx_mega__thio_dmso__2,-2.2157834395,1.8115914355,-1.4531793695,0.6749000182,-0.2803295697
abx_mega__amyc-d_dmso__3,0.1057955747,1.6412196845,-1.642695013,-1.0340379245,0.6293734383
abx_mega__rif_dmso__2,2.2567667331,0.5688580452,-0.659556922,-0.5313228746,-0.2010869699
abx_mega__amyc-d_dmso__4,0.5018166558,1.2367111817,-0.5482364304,-0.3395083618,1.2525770415
abx_mega__teix_dmso__3,0.3604997384,0.5325024357,-0.1455592358,-0.0744392624,-0.2896248806
abx_mega__valin_dmso__1,3.0610405833,-0.4511907362,-0.6506498564000001,-0.17103448070000002,-0.5997892775
abx_mega__teix_dmso__4,0.4532641278,0.277694506,-0.0665078507,-0.3425261498,0.1237988565
abx_mega__ethanol-10__1,-0.5919736408,-1.0363960574,0.0163008612,0.7875061899,-1.5734086149
abx_mega__inh_h2o__1,0.7943762574000001,-0.5469996683,0.3281616036,0.12003723670000001,-1.8638919299
abx_mega__rif_dmso__3,0.7626242638,2.0394370277,-1.3897674496999999,-0.7659405174,0.6829585180000001
abx_mega__van_dmso__3,6.5927614967,0.6814291384000001,-0.94657928,0.7263733076000001,0.9236742301
abx_mega__doxo_dmso__1,0.22539738110000002,-0.0301321781,-0.11358356480000001,-0.6013224671,-1.7925095215
abx_mega__tmp_dmso__1,-0.8931423068000001,-0.1249819187,0.2090437913,-0.8785134040000001,-1.0856227286
abx_mega__ethanol-10__2,1.3936514782,-0.5284590883,0.156288703,0.7901452873,-1.5969538419
abx_mega__tmp_dmso__2,-1.4558445622,-0.1497972132,0.1914919696,-1.0691180943,-1.1365814194000001
abx_mega__amyc-d_dmso__5,-3.6880199212,2.0380877735,-1.6521756011000002,-1.224876475,0.9335471945
abx_mega__novo_h2o__4,2.5803874621,0.0052233307,-0.2527058608,-0.8674783247000001,-0.9001345086
abx_mega__cro_h2o__2,-0.9112213135,0.4784042827,-0.30657057660000003,-0.5275191918000001,-1.5787237146000002
abx_mega__cro_h2o__3,-1.7609373323000002,-0.1817873103,-0.2669976047,-0.5277439766,-1.5363409356000002
abx_mega__gen_h2o__2,0.46698628670000003,-1.6733663526,-1.0307723459,0.5715646187,3.3245249795
abx_mega__phos_h2o__4,-0.5032933037,-1.4923286758,-0.0309958632,-0.4801473545,1.3672523569
abx_mega__metro_dmso__2,-1.3940491137,0.0575286216,-0.3804310446,-0.2058316979,-0.2511288672
abx_mega__ery_h2o__2,0.23916098800000002,2.0216415702,-2.3462003852,-0.4031858943,-1.2241393744
abx_mega__sacet_h2o__1,-2.3006588203,-1.5202731443,-0.6041545277,0.5258567861,2.2712715973
abx_mega__nal_naoh__5,-0.054714059700000005,-0.37419296630000004,-0.054980210200000004,-1.0791491496,-1.1236160881
abx_mega__bacit_h2o__4,4.0699060514,0.6656975378000001,-0.7076949831,1.1625349641,0.16848949670000002
abx_mega__cip_naoh__3,1.3289362664,-0.285459375,0.1102525246,-0.3946522053,-1.2601444012
abx_mega__ethanol-8__1,-1.848055955,-0.5478844172,-0.0590977866,0.0892968809,-1.4558741109
abx_mega__h2o-8a__1,4.615597428,-0.9426291372000001,-0.22081801820000002,0.3895898545,-1.5760854295
abx_mega__ery_h2o__3,-2.3367772122,2.365706667,-2.3057897995,-0.9798657269000001,-1.4715961776
abx_mega__flavo_dmso__2,-1.2601249051,0.44815050570000003,-0.3165443482,-0.3558929129,-1.5589412839999999
abx_mega__rif_dmso__4,1.338468679,2.2319022165,-1.5399098517,-0.3203433341,0.3994912939
abx_mega__novo_h2o__5,-0.375907105,0.9714924580000001,-0.3411830033,-1.8907045999,-0.9678017240000001
abx_mega__teix_dmso__5,-1.9382586192,-0.3183097434,-0.0340696975,0.5235856839,-0.9608040567
abx_mega__naoh-2__1,-4.7857401445,0.4595702441,-0.31705369640000003,-0.6960164566,1.2447894583
abx_mega__novo_h2o__6,-0.9315234157000001,0.3188663069,-0.5697764494,-1.5270626442,-1.191436742
abx_mega__ctx_h2o__3,-2.0659969103,-0.29555656550000003,-0.31765341210000003,-0.4634139386,-1.9337324817
abx_mega__rach_dmso__3,-2.3518965189,0.3466464765,-0.25011430100000004,-0.5227460333,-1.1366547883
abx_mega__valin_dmso__2,1.9702879208000001,-0.1199930824,-0.8373204843000001,-0.6079369570000001,-0.7399595053
abx_mega__amyc-d_dmso__6,0.9717384761000001,1.8591924979,-1.2728116676,-0.5831907388,0.923138631
abx_mega__dox_dmso__2,1.6030249692,-0.8229845064,-0.025511662,-0.5897015176,-0.6534829936000001
abx_mega__teix_dmso__6,-1.4359901255,-0.0098665728,0.1480773849,0.33302975900000004,-1.1495585992
abx_mega__naoh-6__2,-0.0300304528,-0.22942625560000002,0.1439389809,-0.17128217310000002,-0.3206835072
abx_mega__inh_h2o__2,2.6198297101,-0.6399566405,0.0779751018,0.6983107852,-0.8808770448000001
abx_mega__chl_h2o__3,0.3261520674,0.4801023406,-2.8414442095,-0.047770770600000005,-2.0232756272
abx_mega__nal_naoh__6,0.0461108602,-0.30825317760000004,0.0426535923,-0.7783978846,-1.1867332256
abx_mega__chl_dmso__2,0.7418141112000001,-0.5175083398,-1.6022828696,0.5795485447000001,-0.9006154946
abx_mega__rach_dmso__4,-2.3973546566,-0.2185033082,-0.0800003088,-0.4604892508,-1.631366638
abx_mega__teix_dmso__7,-1.2734785883,-0.2470005291,0.0001683552,0.5469985911,-1.033868219
abx_mega__ceru_ethanol__1,2.5891056408,-1.695413108,0.1315329539,1.9391797668000001,-0.7600665551
abx_mega__dmso-7__1,-1.6024791403,-0.0019591802,-0.1486598298,-0.18206983540000002,-0.4911206664
abx_mega__naoh-6__3,0.4540368303,-0.41536759040000004,0.232671539,-0.2625622673,-0.30821672310000003
abx_mega__phos_ethanol__2,-0.7434898269,-0.2445014006,0.2168248136,0.6362886964000001,-1.1953659872
abx_mega__metro_dmso__3,-2.9260286264,-0.24004343990000002,-0.3791651303,-0.24292153970000002,-0.137280135
abx_mega__van_dmso__4,7.1311387909,0.13992067500000002,-0.8353134788000001,0.6048608691,1.2171043994
abx_mega__h2o-10__1,3.9370838673,-0.722319177,-0.0202364792,0.7306458363,-1.5275886062000001
abx_mega__h2o-10__2,0.8274492385000001,-0.4136282455,-0.0607073754,0.47634399800000005,-1.9308061206
abx_mega__dmso-6__3,0.2929483437,-0.5687207573,-0.2527744328,-0.3464694589,0.33441959600000004
abx_mega__mem_dmso__1,-1.2019347721,0.483350804,-0.1981004934,-0.2505482308,-1.6562199957
abx_mega__ethanol-8__2,-0.451459394,-1.2496100656,-0.021523506600000002,0.6124656474,-0.9106399612
abx_mega__chl_h2o__4,2.4566679678,0.5186651994,-2.6700349591,-0.0719270178,-1.9080504914
abx_mega__van_h2o__1,3.0696236266,0.9782994344,-0.9103162108,0.6540059885,-0.9515812199
abx_mega__dcs_h2o__1,-1.8676702271,0.2113714276,0.0943710534,0.4711092564,-1.2671154485
abx_mega__rif_dmso__5,0.8006219287,0.5784329789,-0.1829334597,-0.5450956153000001,-0.0163777134
abx_mega__dox_dmso__3,-2.4739377007,0.3899879865,-0.3972091841,0.2452439907,-1.1819124107
abx_mega__mem_dmso__2,-1.2023307103,-0.12475402370000001,-0.2638287498,-0.1035126536,-0.8976499983
abx_mega__lvx_dmso__2,1.6984777948,-0.440646719,0.0417388443,-0.009095269900000001,-0.7905816784
abx_mega__tet_h2o__2,-1.5259361182,0.9389394508000001,-2.2693012292,1.087692968,-0.8527907562
abx_mega__phos_h2o__5,-1.653054194,-0.7376719052,-0.1972134109,-0.3560818886,1.3728449627
abx_mega__monac_dmso__1,8.0032407793,0.3206533466,-0.8663395759,1.7535099344,0.5807675425000001
abx_mega__str_h2o__3,3.7772238325,-0.8841602868,0.1259657223,0.5170498195000001,-1.8941859509
abx_mega__zeocin_h2o__2,0.8626063462,-1.0325870926,-0.6476176532,-1.0193472069,0.3180122541
abx_mega__amyc-d_dmso__7,0.9397539807,1.9019208756000001,-1.42088019,-0.523282682,0.8686363537
abx_mega__fidax_dmso__1,-2.2407448156,-0.0131461132,0.007690172800000001,0.43947406520000004,-0.8441132099
abx_mega__h2o-1a__1,0.4637933657,-0.1145241468,0.0575483496,0.0446724711,0.0625105212
abx_mega__dox_dmso__4,0.0877413965,-0.7914818317000001,0.2665585241,-0.2893820741,-0.8835196625
abx_mega__lzd_dmso__2,-1.4518064686,0.4437090339,-1.9463157999,-0.2117878394,-1.2250992002
abx_mega__tet_h2o__3,0.7077424903,-0.1042384143,-1.5689931018,-0.3179564891,-1.2535987095
abx_mega__dmso-1__2,-0.8391685409,0.0120616401,-0.0638843971,0.08899595980000001,-0.15609256470000002
abx_mega__sxt_dmso__2,0.7497416941,0.0576059274,-0.6176702001000001,0.028312995400000002,-0.5219061525
abx_mega__tric_ethanol__2,-0.3432540291,-1.0213243068,-0.058214080700000004,1.3392921219,-0.6248932219000001
abx_mega__teix_dmso__8,-2.5573031011,0.5841235968,-0.3208467193,-0.9200105722,-0.8532571789000001
abx_mega__ramo_h2o__2,2.7547619215,-0.0187767106,-0.3043319677,1.5403945842,-0.8440673101
abx_mega__inh_h2o__3,-1.4142108349,-0.35451390790000004,0.2263080572,0.5704792652,-1.6423178196000001
abx_mega__cst_h2o__3,0.4126606615,1.1103280613,-0.6604587882,0.1799193872,-0.7419004346
abx_mega__dmso-9__1,0.9761489254000001,-1.0845554723,0.1652363888,0.4667043355,-1.0228097095
abx_mega__ethanol-8__3,-0.0227295401,-0.8564956914,0.073808526,0.20339786340000002,-0.8209870645
abx_mega__monac_dmso__2,8.1938134241,0.1351663382,-1.4421129371,1.7636918297,0.5544799185
abx_mega__dmso-9__2,-0.3052048949,-0.6193977612,0.0124821121,0.3315411609,-0.6908904131
abx_mega__metro_dmso__4,0.3541562244,-0.0234824324,-0.0624036472,-0.35813353740000003,0.11122089040000001
abx_mega__ctx_h2o__4,-1.0699693128,-0.182629971,-0.3304413054,-0.36327625890000004,-2.1413952496
abx_mega__zeocin_h2o__3,1.1507357898,-0.9708737299,-0.8187488844,-0.9242360812,0.6797201304
abx_mega__bacit_h2o__5,4.1608753682,0.6080896798000001,-0.6212632720000001,1.1244853324,-0.0813581815
abx_mega__reta_dmso__1,-0.7679871638,0.8490393866,-2.0377494386,0.2482560155,-0.8155494813
abx_mega__ery_h2o__4,-1.223418104,1.7872922632,-2.3919325405,0.6052921899,-1.0687696929
abx_mega__ceru_ethanol__2,1.0343611136,-0.6958508876,-0.2507206522,1.6927350389,0.3147754193
abx_mega__fidax_dmso__2,-1.7565640958,-0.16191133970000002,0.07346573220000001,0.4568848408,-0.7102352016
abx_mega__novo_dmso__1,0.7065452786,1.2088581859,0.3143882568,-0.9789359647,-0.8855864517
abx_mega__naoh-6__4,-0.2765606158,-0.16045119600000002,0.1617989176,-0.16993395320000002,-0.3273901919
abx_mega__amyc-d_dmso__8,1.2628594718000001,1.2692086651,-0.4081937196,-0.30292878300000003,1.1375522752
abx_mega__chl_dmso__3,0.5439899213,0.096913566,-1.7002395932,0.5264198142000001,-0.8341317912
abx_mega__nal_naoh__7,-1.0215500655,-0.5299322348000001,0.1538530863,0.2397725474,-0.7477767726
abx_mega__teix_dmso__9,-1.440990846,-0.1474155264,0.1414549701,0.5519567652,-1.2438504318999999
abx_mega__ery_dmso__3,-2.2654353073,-0.31032173890000003,-1.7943494913,-0.2960727922,-1.3600939619
abx_mega__tmp_dmso__3,-1.6720549,-0.2070586725,0.2193526747,-0.9535799394000001,-1.2032978044
abx_mega__sxt_dmso__3,-0.8421409202,0.7467306572,-0.3849941899,0.1879820745,-1.5183364254
abx_mega__polmyx_h2o__4,1.1926573282,-0.0470006762,-0.732440443,-0.33462678430000004,0.8265102893
abx_mega__mem_dmso__3,-0.35699739140000003,-0.5280203292,0.1017285234,0.4853458886,-0.8085937780000001
abx_mega__nal_naoh__8,1.9142774728,-0.23178273600000002,-0.2163555027,-1.5466922668,0.6144673881
abx_mega__pen_h2o__3,0.9019893308,-0.19347923590000002,-0.1832599433,0.3364849925,-0.7307318690000001
abx_mega__van_dmso__5,8.4336815496,0.6331787659,-0.9702752261,0.5538937326,1.0924749437
abx_mega__zeocin_h2o__4,-0.9044415210000001,-0.6381908614,-0.7029806271,-0.9333736147,0.6265042858000001
abx_mega__h2o-6__2,-0.37182826820000003,-0.12259243630000001,0.2689052974,-0.43851679990000003,-0.1930641951
abx_mega__tet_h2o__4,-1.339913057,0.5383172481,-1.7485042558,-0.6122638961,-1.1221989695
abx_mega__nor_naoh__4,0.2977263303,0.010780811500000001,0.2638014382,0.0192414513,-0.8893847205000001
abx_mega__cip_naoh__4,0.0996400082,-0.31651521790000003,0.1813226141,-0.4865215724,-1.1343377475
abx_mega__tmp_dmso__4,-2.486679982,0.49990663900000004,-0.0659537084,-0.7272492188,-1.2139028339
abx_mega__reta_dmso__2,-0.7519900935,1.8605806696,-2.6935232182,-0.1476290305,-0.8070874991
abx_mega__mem_dmso__4,-1.7700983472,0.5064505429,-0.24608755940000002,-0.46360405250000003,-2.112586486
abx_mega__dox_dmso__5,-0.5845779680000001,0.5188505368,-1.4072956342,0.4989539183,-1.1911668779
abx_mega__tmp_dmso__5,-1.2755969529,-0.0285147619,0.13500124700000002,0.3705406573,-0.9323923927000001
abx_mega__flavo_dmso__3,-1.67355199,0.310465981,-0.16266356510000002,-0.1438542033,-1.3161077135
abx_mega__tmp_dmso__6,-3.158124039,0.320027795,-0.08100398930000001,-0.5194117031000001,-1.3777511591
abx_mega__ceru_ethanol__3,-0.9453652214,-0.6246043915,-0.0203257193,2.0305828611,-0.1171657056
abx_mega__teix_dmso__10,-0.8450868696,0.2753504894,-0.0864598209,-0.4654391383,-0.49182771470000003
abx_mega__novo_h2o__7,0.8608938571,0.1940619139,0.09512308080000001,-1.4261023225,-1.4181288842
abx_mega__fidax_dmso__3,-0.39773172910000004,0.0017833729000000002,0.056592892000000006,0.3766098639,-0.1270655376
abx_mega__h2o-1a__2,-0.6620135277,0.1853942542,-0.0203162279,-0.1364564022,0.019027187600000002
abx_mega__dcs_h2o__2,3.1827782878,0.0413358759,0.08127249760000001,0.1286029695,-1.3556210419
abx_mega__cst_h2o__4,0.7931800965,0.9407321831000001,-0.42764759150000003,-0.0696890087,-0.8715800265
abx_mega__van_h2o__2,3.0478556659,-0.3611944224,-0.3318785326,0.9030849996,-1.0604877154
abx_mega__pen_h2o__4,-2.3328210984,-0.2338200798,-0.1072682971,0.38838182590000003,-1.21089239
abx_mega__h2o-8b__2,0.41471425840000004,-0.6861415363000001,0.2832759084,-0.0550770701,-1.8870095360999999
abx_mega__reta_dmso__3,-0.6196906513,1.9108960705,-2.220698214,-0.6307641964,-1.3888387334
abx_mega__dmso-7__2,-2.1720342832,-0.141236469,-0.324421403,-0.2597921773,-0.8358051031
abx_mega__rfp_h2o__2,2.6783667382000003,2.3897203549,-2.078741852,-0.1763272148,0.5651488816
abx_mega__rif_dmso__6,3.7060520628,1.3052757481000001,-0.8986833081000001,-0.1529290586,0.2685785134
abx_mega__sxt_dmso__4,-1.2530912386,0.2945953617,-0.39061972300000003,0.2706568916,-1.6003623698
abx_mega__cip_naoh__5,-0.0638813848,-0.9076890374000001,0.5302146851,-0.8203963424,-1.1976275807
abx_mega__dmso-9__3,-0.8576820665,-0.0095143786,-0.0648156579,0.1585795959,-0.7254365348
abx_mega__mem_dmso__5,-0.18051533520000002,0.5018396705,-0.2015433442,-0.1142251222,-1.5497718291
abx_mega__tric_h2o__2,0.978181673,-2.0938834403,0.0561230447,1.8143817081,-1.4148320002
abx_mega__phos_h2o__6,-1.0736852013,-0.2423271707,0.1840419059,-0.4731728442,-0.5654554842
abx_mega__h2o-7__2,-2.053664184,-0.0977832299,-0.0687134662,0.0620097399,-0.9495107329
abx_mega__h2o-10__3,0.7243431450000001,-0.1792065887,-0.0029101905,0.3949410132,-1.5245136858000001
abx_mega__h2o-8a__2,5.402233682,-0.952066088,-0.2414092729,0.3263541776,-1.1641195583
abx_mega__thio_dmso__3,-0.8389753299,0.8027407688,-1.3992598427,-0.7083059624,-2.5741590835
abx_mega__lzd_dmso__3,-1.2672981623,1.1656425385,-1.4757436121,-0.851641096,-1.0544668967
abx_mega__monac_dmso__3,6.2929983131,-1.1510105446,-1.5239909109,1.4811790611,0.8937663383000001
