,ypjB
Cr_1,0.008978543630471387
Cr_2,0.0232652675939272
Cr_3,0.0316214604028995
Cr_4,0.042658019648839585
Cr_5,0.055466403214937995
Cr_6,0.07017973067180387
Fe_1,-0.007806006006139025
Fe_2,-0.023957769743900917
Fe_3,-0.04186067340638488
Fe_4,-0.07497672460936844
Fe_5,-0.10463440856753682
Fe_6,-0.1249523682770025
Cd_1,0.00030515401800413814
Cd_2,0.004722985386659743
Cd_3,0.00824220740603658
Cd_4,0.011115939012017784
Cd_5,0.010568768004547905
Cd_6,0.01793047639077826
Zn_1,0.0019399322774288886
Zn_2,-0.0014497237384047989
Zn_3,-0.0010520430101200145
Zn_4,-0.0028597081224237303
Zn_5,-0.002729073966525121
Zn_6,0.0047210635749947005
Cu_1,0.0017916151239346825
Cu_2,0.005511025438613849
Cu_3,0.01139701967701383
Cu_4,0.010952558867256951
Cu_5,0.017511214520847775
Cu_6,0.025348141630776585
Pb_1,-0.0019371184287704114
Pb_2,0.00832231476122982
Pb_3,0.01761276144946309
Pb_4,0.02261847331927129
Pb_5,0.027911702051702774
Pb_6,0.03437055824880051
