,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,5.782411586589357e-19,0.15034203730166718,3.0,0.0,-0.1552539514,1.0,0.1448942494,2.0,0.010359702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.7204993278000001,0.361237632158169,3.0,3.0,-0.8590222861,4.0,-0.9919740654,5.0,-0.3105016319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-1.2393055622666667,0.041496160963828875,3.0,6.0,-1.2649996761,7.0,-1.2614840783,8.0,-1.1914329324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761899869130221e-12,0.2534726784977793,21.0,9.0,0.2772084272,10.0,-0.1284328438,11.0,-0.3531653102,12.0,-0.2342168323,13.0,-0.0733421143,14.0,-0.1275352519,15.0,-0.0321021593,16.0,-0.325282992,17.0,-0.1493484896,18.0,0.2124214784,19.0,0.1238086317,20.0,-0.529677042,21.0,0.0653116421,22.0,0.0759190971,23.0,0.23271432820000001,24.0,0.44379268180000003,25.0,0.3088971252,26.0,0.2867459133,27.0,0.2052631071,28.0,-0.1540078633,29.0,-0.12497153350000001
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.03960183378095238,0.40064695616086254,21.0,30.0,0.134876464,31.0,-0.1883267086,32.0,-0.2077276978,33.0,0.0279484835,34.0,0.2353624461,35.0,0.3356412834,36.0,0.660966507,37.0,0.1527362018,38.0,-0.08511409360000001,39.0,-0.0484119514,40.0,0.1006313652,41.0,-0.3179592544,42.0,0.11698674190000001,43.0,-0.2789035496,44.0,-0.163130791,45.0,-0.0856538896,46.0,-1.0301575942,47.0,-0.3013577825,48.0,0.6725003018,49.0,0.7251664432,50.0,0.3755655842
5,WT_vs_Del_ccpA__THY_None_WT_exponential,4.336808689942018e-19,0.04085657825809742,3.0,51.0,-0.041183072,52.0,0.0405220634,53.0,0.0006610086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.757212185825,0.2567917431251247,4.0,54.0,-1.1135784479,55.0,-0.7020473742000001,56.0,-0.7125000151,57.0,-0.5007229061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.168404344971009e-18,0.052283064072267675,4.0,58.0,0.0270787836,59.0,0.0379002533,60.0,-0.0767598755,61.0,0.011780838600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.130499577275,0.03773728953334195,4.0,62.0,-0.1548861297,63.0,-0.1009442056,64.0,-0.1704385501,65.0,-0.09572942370000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.08933073920000001,0.06336155999664572,4.0,66.0,-0.1672731298,67.0,-0.0732860826,68.0,-0.014816118100000001,69.0,-0.10194762630000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,0.023491683500000006,0.04747369713801077,4.0,70.0,-0.0199024517,71.0,-0.0151349047,72.0,0.06785554640000001,73.0,0.061148544000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-3.3333324526522525e-11,0.269556721621315,6.0,74.0,-0.233012776,75.0,-0.1919783685,76.0,-0.16204752,86.0,0.32433372450000003,88.0,0.3617811756,90.0,-0.09907623580000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-0.71066277775,0.6444646751226645,6.0,77.0,-1.2761453154,78.0,-1.2643973196,79.0,-1.3437557594,87.0,-0.08423136240000001,89.0,-0.0398885345,91.0,-0.2555583752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,0.2908503167,0.08480086957400229,3.0,80.0,0.244479722,82.0,0.3887250607,84.0,0.2393461674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-1.6855647494333332,0.07644489148869142,3.0,81.0,-1.7614852246,83.0,-1.6086060180000001,85.0,-1.6866030056999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,0.0,0.05870256423122415,3.0,92.0,-0.0031200572,93.0,-0.0570803157,94.0,0.0602003729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,0.042079189200000006,0.0377438748587739,3.0,95.0,0.0611584831,96.0,0.066474561,97.0,-0.0013954765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,0.3780842885,0.08163556541767807,3.0,98.0,0.2863482014,99.0,0.442733527,100.0,0.4051711371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,0.29714691216666667,0.11037020545273371,3.0,101.0,0.4231686443,102.0,0.2505821558,103.0,0.2176899364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,-0.7804851772666668,0.04764146793531268,3.0,104.0,-0.7255660877,105.0,-0.8107069074000001,106.0,-0.8051825367000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
