,A,Cra
R2,,0.019787751981170998
xmin,,-7.2746930645
xmid,,
xmax,,2.4360738119
ystart,,4.962899924473343
yend,,-0.4527954600821046
SRX1125282,-0.0678270854,0.062006051900000005
SRX1125283,0.0503378131,-0.1314214465
SRX1125284,-0.2322571061,0.0314530619
SRX1125285,-1.5609534666,-0.1295274102
SRX1125286,-5.113431136,-0.2247240932
SRX1125287,-5.9576558919,-0.7116227439
SRX1125288,0.029878806,-0.1377842684
SRX1125289,-0.5576502166,-0.0278778495
SRX1125290,-0.6417702008,-0.0861555941
SRX1125291,-2.8028150327,-0.0825496888
SRX1125292,-5.5993545714,-0.0984813253
SRX1125293,-5.3146146485,-0.48781484950000004
SRX1125294,0.0379482794,0.07577821650000001
SRX1125295,-0.2435387141,-0.0035574465000000003
SRX1125296,-0.23713785680000002,-0.16898320120000002
SRX1125297,-2.0873454512,-0.3037351676
SRX1125298,-4.7480451413,-0.012594644700000001
SRX1125299,-5.2381824838,-0.2651798535
SRX5694250,-3.2339754214,0.7869246933
SRX5694251,-1.2901630151,-1.9643924144
SRX5694252,-1.7586838809,0.2616035103
SRX5694253,-0.40353171800000004,0.0813911834
SRX5694254,0.15359229600000002,-1.1465008338
SRX5694255,-2.4055971937000002,-3.3721230493
SRX5694256,1.9334177110000001,0.11221218470000001
SRX5694257,2.0565358281,-1.3980611692
SRX5694258,3.2218311216,0.2467512605
SRX5694259,-0.0758997974,-2.6432952439
SRX5694260,6.1368424873,0.2581778823
SRX5694261,-1.9110404123,-0.0287932522
SRX5694262,-0.2386300483,0.6316982481
SRX5694263,4.194918863,0.0781090031
SRX5694264,3.5122390047,-0.4752620474
SRX5694265,1.9411145496,0.4332073776
SRX5694267,-0.2570340947,0.0325016821
SRX5694268,3.5548966212,0.3834597617
SRX5694269,3.0998707928,0.5965422085000001
SRX5694271,4.1000458046,0.1308253183
SRX5694273,-0.42696361310000003,-0.8388425719
SRX5694274,4.2609046915,0.6751682776
SRX5694275,1.6891089831000001,0.9108492799000001
SRX5694276,0.4631214226,-1.1208930686
SRX5694277,4.4369413874,0.21406610210000002
SRX5694278,-0.7932241160000001,-0.4068578344
SRX5694279,1.6288923832000002,0.44640647380000004
SRX5694280,0.5148147066000001,0.045534809600000004
SRX5694281,3.7456894407,0.6982458443
SRX5694282,4.39386248,-1.9874404964
SRX5694283,6.0089848364,-0.38277561260000004
SRX5694284,4.27011768,-0.5035923001
SRX5694285,1.0355686378,1.0192005981
SRX5694286,1.4743926177,0.7719019076
SRX5694287,4.5392557944,-0.052083887700000005
SRX5694288,2.7677378517999998,-0.2371284206
SRX5694289,-1.015116803,-0.0507022806
SRX5694290,3.4635089901000002,-0.5041378015
SRX5694291,-1.7162484179000002,-3.2518194953
SRX5694292,2.7532920137,0.5148069151
SRX5694293,4.9101873038,0.2921819518
SRX5694294,4.2984878143,0.09906589140000001
