,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
0,aat__00m_00s,0.0,0.058878385130984166,3.0,0.0,-0.0678270854,6.0,0.029878806,12.0,0.0379482794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,-0.2502837058666667,0.3040501311462821,3.0,1.0,0.0503378131,7.0,-0.5576502166,13.0,-0.2435387141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-0.3703883879,0.2350362136172144,3.0,2.0,-0.2322571061,8.0,-0.6417702008,14.0,-0.23713785680000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-2.150371316833333,0.6233251415940234,3.0,3.0,-1.5609534666,9.0,-2.8028150327,15.0,-2.0873454512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-5.1536102829,0.42707459457161046,3.0,4.0,-5.113431136,10.0,-5.5993545714,16.0,-4.7480451413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-5.5034843414,0.39517631117371205,3.0,5.0,-5.9576558919,11.0,-5.3146146485,17.0,-5.2381824838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,-3.5580714957,0.45834106378693845,2.0,18.0,-3.2339754214,71.0,-3.88216757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,-1.4988764618000001,0.7583541948651767,3.0,19.0,-1.2901630151,70.0,-0.8667346395000001,205.0,-2.3397317308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,2.1169710243999997,2.316168861461997,8.0,20.0,-1.7586838809,32.0,3.5122390047,55.0,3.4635089901000002,67.0,3.3762883368,126.0,2.5680081695,147.0,3.1376223052,203.0,4.0262820957,210.0,-1.3894968259,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,-0.3441805226666667,0.07710265641333648,3.0,21.0,-0.40353171800000004,34.0,-0.2570340947,61.0,-0.3719757553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,0.9812722726625,1.4783100683920958,8.0,22.0,0.15359229600000002,104.0,2.5612027849,111.0,-0.0479747676,133.0,0.43673394600000004,165.0,3.0720394183,238.0,-1.0000370299,265.0,2.3885666713,270.0,0.2860548623,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,-1.063673076814286,1.2441883558116453,7.0,23.0,-2.4055971937000002,56.0,-1.7162484179000002,82.0,-1.6821750357,118.0,1.0149994631,134.0,-1.2896410107,137.0,0.3209407955,227.0,-1.6879901383,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,1.908990897875,0.9031386863275573,4.0,24.0,1.9334177110000001,101.0,2.5816585653,139.0,2.4961064288,149.0,0.6247808864000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,2.26334859055,0.46812638386575983,4.0,25.0,2.0565358281,123.0,2.4527726166,155.0,2.8099196962,191.0,1.7341662213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,3.7497838566333335,0.5386282283862487,3.0,26.0,3.2218311216,59.0,4.2984878143,159.0,3.729032634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,abx_mega__chl_h2o,1.09515744388,1.435865341113209,5.0,27.0,-0.0758997974,76.0,0.3408184963,146.0,2.7480617432,162.0,2.5612936592,262.0,-0.0984868819,,,,,,,,,,,,,,,,,,,,,,,,,,
16,abx_mega__cst_h2o,1.28676720725,3.2668752770513074,4.0,28.0,6.1368424873,94.0,0.32876398500000004,186.0,-0.6252880927000001,231.0,-0.6932495506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,abx_mega__tec_h2o,-0.33565547790000005,4.054518273401546,3.0,29.0,-1.9110404123,49.0,4.27011768,260.0,-3.3660437014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abx_mega__str_h2o,1.23929017994,2.26965861666325,5.0,30.0,-0.2386300483,77.0,-0.7559442752000001,172.0,3.0691770954,259.0,-0.1460582209,280.0,4.2679063487,,,,,,,,,,,,,,,,,,,,,,,,,,
