,A,PhoB
R2,,0.14121411862002564
xmin,,-5.282633958
xmid,,-0.2445247695389439
xmax,,5.022704642000001
ystart,,0.2752733751033987
yend,,10.295757050715867
control__wt_glc__1,0.3595634504746172,0.02201119900000048
control__wt_glc__2,-0.359563450474618,-0.02201119900000048
fur__wt_dpd__1,4.989088220494081,0.4936474440000005
fur__wt_dpd__2,6.054374123520282,0.6525144970000003
fur__wt_fe__1,1.1175973285274576,-0.3362459099999997
fur__wt_fe__2,0.6807785612781374,-0.2510419129999999
fur__delfur_dpd__1,4.174834362415859,0.4860413399999999
fur__delfur_dpd__2,4.338209436481771,0.2402880860000005
fur__delfur_fe2__1,1.9347837881412744,0.022271428000000704
fur__delfur_fe2__2,2.203892936968185,0.08650986500000002
acid__wt_ph5__1,1.8332621990574696,0.28386598700000043
acid__wt_ph5__2,1.6624253642805502,0.4529088480000016
acid__delgadx_ph5__2,1.6012525270960218,0.11188469400000044
acid__delgadw_ph5__1,1.7478361981682131,0.5174948370000001
acid__delgadw_ph5__2,1.76427505642558,0.4606312140000002
acid__delgade_ph5__1,1.89763976265779,0.6411700089999997
acid__delgade_ph5__2,1.7488001381774076,0.5688716520000003
oxidative__wt_pq__1,3.222202495309331,0.521026505
oxidative__wt_pq__2,3.767419106405149,0.8105942769999999
oxidative__deloxyr_pq__1,2.1538865013644863,0.8091225999999994
oxidative__deloxyr_pq__2,1.963301720774591,0.7159930749999992
oxidative__delsoxr_pq__1,2.4615391259244204,0.4023314730000003
oxidative__delsoxr_pq__2,3.40028175990429,0.5397652470000001
oxidative__delsoxs_pq__1,3.347806830836607,0.6787950770000002
oxidative__delsoxs_pq__2,2.9347844069333178,0.6795322499999994
nac_ntrc__wt_csn__1,2.0622989741637894,0.7058176599999992
nac_ntrc__wt_csn__2,1.6864087189766277,0.7224664449999993
nac_ntrc__wt_cytd__1,1.4254875264936624,0.2560212420000001
nac_ntrc__wt_cytd__2,1.0734579324034943,0.12034849700000015
nac_ntrc__wt_gln__1,1.715741376246747,0.5711317399999993
nac_ntrc__wt_gln__2,1.2561763880745758,0.696809096
nac_ntrc__bw_delnac_csn__1,6.079694209075695,0.9693647619999995
nac_ntrc__bw_delnac_csn__2,4.320657579923415,0.5398511949999998
nac_ntrc__bw_delnac_cytd__1,1.1437391140879944,0.4247788799999999
nac_ntrc__bw_delnac_cytd__2,1.5038996538585423,0.1326141019999998
nac_ntrc__bw_delnac_gln__1,0.7660980876824389,0.22251434699999967
nac_ntrc__bw_delnac_gln__2,1.0321811815842012,0.15583329800000012
nac_ntrc__bw_delnac_nh4__1,0.3140729956030108,-0.16307021099999994
nac_ntrc__bw_delnac_nh4__2,0.7059514261571406,-0.1717170750000001
misc__wt_no_te__1,2.7092463474469257,0.36281584199999983
misc__wt_no_te__2,2.6864926334544776,0.2076790899999992
misc__bw_delcbl__1,2.222225986320096,-0.05434949699999958
misc__bw_delcbl__2,1.7889560811848455,0.07808028400000032
misc__bw_delfabr__1,1.6991247982881883,-0.03675682499999944
misc__bw_delfabr__2,1.5587506240398656,-0.27888402099999965
misc__bw_delfadr__1,1.442045638034577,0.05555417500000015
misc__bw_delfadr__2,1.649858745345686,0.0815173920000003
misc__nitr_031__1,3.1229676388321645,0.6076943020000005
omics__wt_glu__1,3.007947103087861,0.07746298200000012
omics__wt_glu__2,2.796820715579118,0.2822435619999997
omics__wt_gly__1,3.4813381867107065,0.05864294599999996
omics__wt_gly__2,5.47073436151388,0.0970708449999993
omics__wt_thr__1,11.964933669725674,0.3054526699999993
omics__wt_thr__2,9.990330420643184,0.20350091999999972
omics__bw_ac__1,-0.1079972398361171,0.032939516999999974
omics__bw_ac__2,-0.0977721608785332,0.05751266800000021
omics__bw_fum__1,0.9464054061341872,0.17821879099999993
omics__bw_fum__2,1.1827862545710988,0.25907969300000033
omics__bw_glc__1,1.0787374243156955,0.07167273100000049
omics__bw_glc__2,1.3087568902484836,-0.18602841399999992
omics__bw_pyr__1,-0.1648192885815937,-0.16770765800000031
