,ygaZ
Cr_1,-0.0036301014266991115
Cr_2,-0.004524875828102779
Cr_3,-0.0062859410525890475
Cr_4,-0.00869406630851568
Cr_5,-0.013796757925552437
Cr_6,-0.021844450358827105
Fe_1,-0.0031705775489153988
Fe_2,-0.012461890887046136
Fe_3,-0.018552321643281574
Fe_4,-0.023709231359832238
Fe_5,-0.026722081743239676
Fe_6,-0.03543083076472373
Cd_1,-0.0004044538833181431
Cd_2,-0.0009912017757349083
Cd_3,-0.0005414640657639592
Cd_4,0.001724601221579363
Cd_5,0.0012688711085359276
Cd_6,0.007438439952478544
Zn_1,-0.0013634967320877178
Zn_2,0.008330836661538011
Zn_3,0.03375145037219255
Zn_4,0.06001530285125292
Zn_5,0.08458633069664305
Zn_6,0.104568149083279
Cu_1,-0.0007038101428531887
Cu_2,-0.0004894634137426318
Cu_3,0.0006447515235021128
Cu_4,0.0016457903894540008
Cu_5,0.002790180749405876
Cu_6,0.014597778488635174
Pb_1,0.006747205092590943
Pb_2,0.010859052067096182
Pb_3,0.017427827426421745
Pb_4,0.025056749984524705
Pb_5,0.033116790524560034
Pb_6,0.04164294546630643
