,yceK
Cr_1,-0.0008877569484773473
Cr_2,6.998160558020671e-05
Cr_3,-0.00022961641185864078
Cr_4,0.0005777590093324363
Cr_5,0.002530428774480474
Cr_6,-0.002418237976367192
Fe_1,-0.006610651020624715
Fe_2,-0.014722951056961104
Fe_3,-0.01623559728459328
Fe_4,-0.02141557765922647
Fe_5,-0.02481167194274509
Fe_6,-0.02041842115547349
Cd_1,0.0013601564333219705
Cd_2,0.002950935403384939
Cd_3,0.006016036173173193
Cd_4,0.006019872606503836
Cd_5,0.003419724508183073
Cd_6,0.008707117077559307
Zn_1,0.00015001454076642143
Zn_2,0.003311932986446057
Zn_3,0.013247131489239405
Zn_4,0.022159333534467
Zn_5,0.026989934318597933
Zn_6,0.026834415345070497
Cu_1,0.0009153358313012274
Cu_2,0.006497183899941215
Cu_3,0.012759571290221651
Cu_4,0.014111456873956315
Cu_5,0.016322036113946576
Cu_6,0.021343740668723625
Pb_1,0.001277567330137958
Pb_2,0.005535394635975068
Pb_3,0.006615113541751642
Pb_4,0.011961332158901656
Pb_5,0.01429053070636469
Pb_6,0.021438623196348587
