,-0.0557214987093886,6.938893903907228e-18,0.05572149870938861,0.11144299741877721,0.1671644961281658,0.22288599483755445,0.27860749354694303,0.33432899225633167,0.39005049096572025,0.4457719896751089,0.5014934883844975,0.5572149870938861,0.6129364858032746,0.6686579845126632,0.7243794832220519,0.7801009819314405,0.8358224806408291,0.8915439793502177,0.9472654780596064,1.002986976768995
thresh,-0.0835822480640829,0.0835822480640829,1,,,,,,,,,,,,,,,,,
unreg,70,4061,77,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['ebgC' 'yfjS'],[],[],[],[],[],[],[],[],['ypjK'],[],[],[],[],[],[],[]
