,tpiA
Cr_1,-0.006141418040576031
Cr_2,-0.0028501239559440912
Cr_3,-0.002847532986198469
Cr_4,-0.0030664132562517412
Cr_5,0.00860251714388321
Cr_6,0.02334705845312501
Fe_1,-0.005287300289662629
Fe_2,-0.03260567662147212
Fe_3,-0.08341066269113505
Fe_4,-0.1445172752991166
Fe_5,-0.19526798084052266
Fe_6,-0.23361239204142226
Cd_1,-0.007015009302546543
Cd_2,-0.009604281278514313
Cd_3,-0.0055221129437330405
Cd_4,-0.005325066088295279
Cd_5,-0.010298210541797763
Cd_6,-0.008876487702203239
Zn_1,0.008921645789365147
Zn_2,0.029269173965292706
Zn_3,0.023480442097252748
Zn_4,0.02108042325742746
Zn_5,0.025287337252886267
Zn_6,0.03032047591210658
Cu_1,0.008013128323115744
Cu_2,0.016145992209468687
Cu_3,0.017183660455916343
Cu_4,0.02749152435751678
Cu_5,0.030392552511335137
Cu_6,0.033419481737804714
Pb_1,0.010502292225670671
Pb_2,0.02623225439638845
Pb_3,0.03929664084463343
Pb_4,0.045332080209793936
Pb_5,0.05178903675175202
Pb_6,0.057836018096058275
