,rbsD
Cr_1,4.879155925693271e-05
Cr_2,0.005299327520771259
Cr_3,0.014909417737693656
Cr_4,0.02005535767013853
Cr_5,0.027387829741134226
Cr_6,0.03231092661169206
Fe_1,0.003220472104804771
Fe_2,0.06923911760933425
Fe_3,0.14990825289046747
Fe_4,0.21338736604458436
Fe_5,0.2577222790213725
Fe_6,0.2917913148347778
Cd_1,-0.0001721390547560171
Cd_2,0.004923537205411734
Cd_3,0.01283663404905025
Cd_4,0.02038497399304137
Cd_5,0.022318498235042776
Cd_6,0.030315047854275683
Zn_1,-0.0004928297527798623
Zn_2,0.015880839716296648
Zn_3,0.029833036500754126
Zn_4,0.042543732474466266
Zn_5,0.05291822435762352
Zn_6,0.06360173905819777
Cu_1,0.006163659601548842
Cu_2,0.018120207945512216
Cu_3,0.03506660771489308
Cu_4,0.04523002593869797
Cu_5,0.055032421000288635
Cu_6,0.07047538107782328
Pb_1,0.010248076483842891
Pb_2,0.017183661688258425
Pb_3,0.026894344187927532
Pb_4,0.03496035677703368
Pb_5,0.046967369200220536
Pb_6,0.05571043324729938
